,Name,link,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
3786,Leon Smith,smithle01,2001-02,21,ATL,NBA,C,14,100,14.0,.463,.000,.654,11.4,24.1,17.7,4.7,2.6,0.7,8.2,16.5,,0.1,0.1,0.2,.109,,-3.3,-0.7,-4.0,-0.1
3787,Michael Smith,smithmi01,1989-90,24,BOS,NBA,PF,65,620,14.2,.520,.098,.224,7.5,10.2,8.9,18.6,0.7,0.1,14.7,25.0,,0.3,0.4,0.7,.055,,-0.4,-2.6,-3.0,-0.2
3788,Michael Smith,smithmi02,1994-95,22,SAC,NBA,PF,82,1736,13.5,.544,.005,.645,11.9,20.6,16.3,6.1,1.8,2.1,16.9,16.1,,0.9,2.8,3.7,.101,,-1.9,1.8,-0.1,0.8
3789,Mike Smith,smithmi03,2000-01,24,WAS,NBA,SF,17,180,8.1,.386,.305,.271,6.4,7.9,7.2,9.0,1.4,1.2,9.6,18.1,,-0.1,0.0,-0.1,-0.033,,-3.0,-2.5,-5.5,-0.2
3790,Nolan Smith,smithno01,2011-12,23,POR,NBA,PG,44,541,7.8,.434,.250,.156,3.6,8.6,6.0,18.2,1.8,0.4,17.9,19.8,,-0.6,0.3,-0.3,-0.029,,-3.7,-1.7,-5.4,-0.5
3791,Otis Smith,smithot01,1986-87,23,DEN,NBA,SG,28,168,8.1,.442,.025,.266,10.0,11.3,10.6,17.5,0.3,0.3,17.7,24.5,,-0.2,0.1,-0.2,-0.053,,-4.2,-3.3,-7.5,-0.2
3793,Phil Smith,smithph01,1974-75,22,GSW,NBA,SG,74,1055,17.6,.533,,.341,4.7,8.3,6.5,17.5,2.6,0.0,,,,2.0,0.9,2.9,.132,,1.7,-1.8,-0.1,0.5
3794,Randy Smith,smithra01,1971-72,23,BUF,NBA,SF,76,2094,15.5,.507,,.283,,,8.5,13.8,,,,,,2.5,0.5,3.0,.069,,,,,
3795,Reggie Smith,smithre01,1992-93,22,POR,NBA,C,23,68,7.6,.347,.037,.519,23.4,10.0,16.9,2.1,2.9,0.9,10.8,22.5,,-0.1,0.1,0.0,-0.027,,-4.6,-2.3,-6.9,-0.1
3796,Robert Smith,smithro01,1977-78,22,DEN,NBA,PG,45,378,10.9,.562,,.247,1.7,7.9,4.9,13.5,2.1,0.4,15.7,12.9,,0.5,0.3,0.8,.097,,-1.6,-1.3,-2.9,-0.1
3797,Russ Smith,smithru01,2014-15,23,TOT,NBA,PG,12,65,5.2,.488,.440,.520,1.8,8.7,5.3,19.4,2.4,0.0,28.1,30.1,,-0.2,0.1,-0.1,-0.094,,-5.6,-2.5,-8.0,-0.1
3799,Sam Smith,smithsa02,1978-79,24,MIL,NBA,SF,16,125,14.2,.486,,.511,0.0,8.0,4.0,15.4,2.9,3.0,12.2,20.4,,0.1,0.2,0.2,.090,,-2.8,0.0,-2.8,0.0
3800,Steve Smith,smithst01,1991-92,22,MIA,NBA,SG,61,1806,12.5,.513,.191,.194,4.9,6.7,5.8,23.4,1.6,0.6,17.6,20.0,,0.8,0.8,1.5,.040,,0.1,-1.5,-1.4,0.3
3801,Steven Smith,smithst03,2006-07,23,PHI,NBA,PF,8,28,-1.8,.282,.000,.250,4.3,21.4,12.9,0.0,1.9,0.0,18.4,18.0,,-0.1,0.0,-0.1,-0.154,,-13.2,-4.0,-17.2,-0.1
3802,Stevin Smith,smithst02,1996-97,25,DAL,NBA,SG,8,60,3.3,.380,.333,.056,3.8,15.7,9.7,10.9,0.9,0.0,17.8,17.2,,-0.1,0.0,-0.1,-0.072,,-6.7,-1.9,-8.6,-0.1
3803,Theron Smith,smithth01,2003-04,23,MEM,NBA,SF,20,178,8.4,.473,.279,.186,8.2,18.0,13.0,6.0,1.5,2.0,23.1,15.3,,-0.1,0.2,0.1,.019,,-4.2,0.3,-3.9,-0.1
3804,Tony Smith,smithto02,1990-91,22,LAL,NBA,SG,64,695,10.9,.477,.032,.259,4.2,7.5,5.9,27.6,2.1,1.0,22.0,19.7,,-0.3,0.8,0.5,.037,,-3.1,-0.2,-3.3,-0.2
3806,Willie Smith,smithwi02,1976-77,23,CHI,NBA,PG,2,11,-3.8,.000,,.000,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.067,,-12.1,-0.1,-12.2,0.0
3807,Rik Smits,smitsri01,1988-89,22,IND,NBA,C,82,2041,15.6,.557,.001,.342,10.7,16.2,13.6,5.2,0.9,4.3,13.2,20.3,,2.4,1.9,4.3,.101,,-0.8,0.4,-0.4,0.8
3808,Mike Smrek,smrekmi01,1985-86,23,CHI,NBA,C,38,408,6.5,.401,.016,.238,12.3,18.4,15.2,6.1,0.7,3.2,17.7,16.3,,-0.5,0.2,-0.2,-0.024,,-4.5,-0.5,-5.0,-0.3
3810,Tony Snell,snellto01,2013-14,22,CHI,NBA,SG,77,1231,8.0,.489,.530,.122,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,,-0.1,1.7,1.6,.063,,-2.9,-0.2,-3.0,-0.3
3811,Eric Snow,snower01,1995-96,22,SEA,NBA,PG,43,389,10.7,.473,.100,.490,2.9,9.9,6.5,28.2,3.7,0.0,23.8,18.3,,-0.2,0.7,0.5,.061,,-3.9,0.5,-3.4,-0.1
3813,Kirk Snyder,snydeki01,2004-05,21,UTA,NBA,SG,68,906,8.6,.456,.259,.293,6.7,10.0,8.3,6.8,1.6,1.8,13.5,21.8,,-0.7,0.4,-0.2,-0.012,,-2.9,-2.0,-5.0,-0.7
3815,Ricky Sobers,soberri01,1975-76,23,PHO,NBA,SG,78,1898,13.1,.507,,.308,4.6,10.1,7.4,15.9,2.5,0.2,,,,0.9,1.9,2.8,.072,,-0.8,-0.1,-0.9,0.5
3818,Willie Sojourner,sojouwi01,1971-72,23,VIR,ABA,C,84,1313,15.9,.533,.000,.431,12.3,21.9,17.1,5.4,,,13.9,17.0,,1.5,2.0,3.5,.129,,,,,
3819,Will Solomon,solomwi01,2001-02,23,MEM,NBA,SG,62,872,8.8,.442,.489,.221,1.5,7.2,4.3,17.8,2.1,0.6,14.6,22.1,,-0.9,0.5,-0.5,-0.027,,-2.7,-2.6,-5.3,-0.7
3821,Darius Songaila,songada01,2003-04,25,SAC,NBA,PF,73,976,14.6,.541,.000,.322,10.8,15.2,13.1,7.6,2.2,0.9,12.1,16.4,,1.7,0.9,2.6,.129,,-0.6,-0.4,-1.0,0.3
3823,James Southerland,southja01,2013-14,23,TOT,NBA,SF,4,30,11.8,.441,.400,.133,0.0,31.5,15.5,0.0,1.7,5.6,5.9,25.6,,-0.1,0.0,0.0,-0.023,,-8.1,-5.2,-13.3,-0.1
3825,Pape Sow,sowpa01,2004-05,23,TOR,NBA,C,27,255,7.8,.444,.000,.466,7.8,17.6,12.7,1.2,2.4,1.1,12.5,14.3,,-0.1,0.3,0.2,.029,,-5.6,-0.8,-6.3,-0.3
3827,Jim Spanarkel,spanaji01,1979-80,22,PHI,NBA,SG,40,442,10.7,.545,.013,.425,6.9,6.1,6.5,15.9,1.3,0.7,23.9,21.6,,0.0,0.5,0.4,.048,,-2.6,-1.6,-4.2,-0.2
3828,Vassilis Spanoulis,spanova01,2006-07,24,HOU,NBA,SG,31,272,5.4,.470,.403,.583,2.1,7.1,4.7,15.9,1.4,0.3,24.3,20.5,,-0.4,0.4,-0.1,-0.010,,-5.8,-1.0,-6.7,-0.3
3831,Rory Sparrow,sparrro01,1980-81,22,NJN,NBA,PG,15,212,8.2,.400,.000,.254,3.6,6.0,4.8,19.5,2.8,0.8,20.4,16.4,,-0.3,0.2,-0.1,-0.023,,-4.7,-0.4,-5.2,-0.2
3834,Marreese Speights,speigma01,2008-09,21,PHI,NBA,C,79,1263,17.9,.543,.016,.263,11.6,16.3,13.9,4.2,1.1,3.6,7.6,21.9,,2.4,1.5,3.8,.146,,-0.7,-1.0,-1.7,0.1
3835,Andre Spencer,spencan01,1992-93,28,TOT,NBA,SF,20,422,12.8,.501,.012,.331,10.1,11.4,10.7,8.2,1.9,1.0,12.2,20.6,,0.3,0.3,0.6,.071,,-1.2,-0.7,-1.9,0.0
3836,Elmore Spencer,spencel01,1992-93,23,LAC,NBA,C,44,280,9.7,.541,.000,.390,6.6,18.0,12.3,3.9,1.4,4.1,21.3,17.9,,-0.2,0.4,0.2,.026,,-5.5,0.4,-5.2,-0.2
3837,Felton Spencer,spencfe01,1990-91,23,MIN,NBA,C,81,2099,13.8,.581,.003,.661,14.1,21.8,17.7,1.6,1.2,3.7,13.5,11.7,,3.5,2.1,5.6,.128,,-1.6,0.1,-1.4,0.3
3840,Tiago Splitter,splitti01,2010-11,26,SAS,NBA,C,60,738,16.0,.550,.005,.733,11.6,19.8,15.8,5.3,2.0,1.6,11.2,17.7,,1.1,1.1,2.3,.149,,-1.4,0.7,-0.7,0.2
3843,Latrell Sprewell,sprewla01,1992-93,22,GSW,NBA,SG,77,2741,13.6,.541,.205,.292,3.2,7.8,5.5,15.2,2.2,1.2,15.7,19.3,,2.2,1.8,4.0,.070,,0.4,0.1,0.5,1.7
3844,Larry Spriggs,sprigla01,1981-82,22,HOU,NBA,SF,4,37,11.7,.589,.000,.182,5.8,12.4,9.0,15.5,2.7,0.0,25.2,17.6,,0.0,0.0,0.0,.037,,-1.7,0.0,-1.7,0.0
3847,Ryan Stack,stackry01,1998-99,23,CLE,NBA,PF,18,199,9.7,.513,.000,.541,12.3,9.5,10.9,4.3,0.6,4.5,16.4,13.4,,0.2,0.1,0.4,.086,,-2.5,0.6,-1.9,0.0
3848,Jerry Stackhouse,stackje01,1995-96,21,PHI,NBA,SG,72,2701,14.8,.525,.268,.475,3.7,7.7,5.7,19.0,1.5,2.1,16.0,26.0,,0.8,0.4,1.2,.021,,0.1,-1.6,-1.4,0.4
3849,Kevin Stacom,stacoke01,1974-75,23,BOS,NBA,SG,61,447,12.0,.499,,.208,6.7,5.5,6.1,14.7,1.1,0.3,,,,0.4,0.4,0.9,.092,,-1.2,-1.7,-2.9,-0.1
3854,Terence Stansbury,stanste01,1984-85,23,IND,NBA,SG,74,1278,10.3,.512,.055,.275,3.2,6.2,4.7,13.8,1.7,0.5,13.5,18.3,,0.5,1.0,1.5,.056,,-2.0,-1.4,-3.4,-0.4
3855,John Starks,starkjo01,1988-89,23,GSW,NBA,SG,36,316,10.3,.494,.208,.416,4.8,8.2,6.5,11.0,3.3,0.5,20.9,22.4,,-0.4,0.3,0.0,-0.002,,-3.5,-1.0,-4.5,-0.2
3857,Nik Stauskas,stausni01,2014-15,21,SAC,NBA,SG,73,1127,7.5,.492,.503,.216,1.1,7.5,4.4,9.0,0.9,1.2,11.0,14.2,,0.3,0.2,0.5,.021,,-1.9,-2.0,-3.9,-0.5
3859,Larry Steele,steella01,1971-72,22,POR,NBA,SG,72,1311,10.9,.522,,.315,,,10.1,16.1,,,,,,1.2,0.4,1.6,.057,,,,,
3860,Matt Steigenga,steigma01,1996-97,26,CHI,NBA,SF,2,12,7.0,.307,.500,.500,0.0,27.8,14.1,22.3,4.4,6.3,29.1,25.6,,-0.1,0.0,0.0,-0.126,,-10.2,6.2,-4.0,0.0
3861,Vladimir Stepania,stepavl01,1998-99,22,SEA,NBA,C,23,313,11.3,.445,.024,.320,9.8,17.9,13.8,6.9,1.7,5.5,18.3,25.3,,-0.5,0.3,-0.1,-0.022,,-6.0,0.2,-5.8,-0.3
3862,D.J. Stephens,stephdj01,2013-14,23,MIL,NBA,SG,3,15,16.1,.470,.000,.143,7.4,31.6,19.1,0.0,0.0,0.0,0.0,22.4,,0.0,0.0,0.0,.067,,-7.6,-10.1,-17.7,-0.1
3863,Everette Stephens,stephev01,1988-89,22,IND,NBA,PG,35,209,6.4,.398,.139,.306,6.2,6.0,6.1,23.8,2.1,1.1,26.2,22.2,,-0.6,0.1,-0.4,-0.103,,-5.8,-1.5,-7.3,-0.3
3865,Joe Stephens,stephjo01,1996-97,24,HOU,NBA,PF,2,9,3.0,.300,.600,.000,27.1,12.3,19.3,0.0,17.5,0.0,37.5,40.5,,-0.1,0.0,-0.1,-0.308,,-12.5,5.1,-7.4,0.0
3866,Lance Stephenson,stephla01,2010-11,20,IND,NBA,SG,12,115,5.5,.410,.128,.359,1.0,16.3,8.7,28.3,1.8,0.0,26.2,23.5,,-0.4,0.1,-0.2,-0.093,,-7.4,-0.7,-8.1,-0.2
3867,Alex Stepheson,stephal01,2015-16,28,TOT,NBA,PF,8,73,14.8,.341,.000,.444,28.5,14.5,21.8,4.3,0.7,6.0,0.0,19.8,,0.0,0.1,0.1,.068,,-2.0,-1.1,-3.2,0.0
3868,Brook Steppe,steppbr01,1982-83,23,KCK,NBA,SG,62,606,11.5,.557,.040,.568,4.5,8.6,6.5,14.0,1.9,0.3,20.0,17.4,,0.5,0.5,1.1,.084,,-1.4,-0.9,-2.4,-0.1
3869,Barry Stevens,steveba01,1992-93,30,GSW,NBA,SF,2,6,15.2,.500,.000,.000,37.2,0.0,18.6,0.0,0.0,0.0,0.0,13.6,,0.0,0.0,0.0,.157,,3.4,-8.3,-4.9,0.0
3871,DeShawn Stevenson,stevede01,2000-01,19,UTA,NBA,SG,40,293,4.3,.413,.132,.418,3.9,7.9,5.9,9.6,1.8,0.6,20.6,21.3,,-0.6,0.2,-0.4,-0.071,,-6.1,-1.7,-7.8,-0.4
3873,Kebu Stewart,stewake01,1997-98,24,PHI,NBA,PF,15,110,14.0,.541,.000,.962,9.3,23.2,16.2,3.0,2.4,1.3,17.8,18.4,,0.1,0.2,0.2,.098,,-4.2,-1.3,-5.5,-0.1
3874,Larry Stewart,stewala01,1991-92,23,WSB,NBA,PF,76,2229,12.9,.573,.005,.395,8.9,13.2,11.0,7.6,1.1,1.2,13.9,15.2,,2.9,1.8,4.7,.101,,-0.7,0.3,-0.4,0.9
3875,Michael Stewart,stewami01,1997-98,22,SAC,NBA,C,81,1761,12.9,.486,.000,.440,12.2,21.9,16.9,5.2,0.9,7.5,18.1,11.9,,0.4,2.6,3.0,.081,,-3.8,3.9,0.2,1.0
3877,Greg Stiemsma,stiemgr01,2011-12,26,BOS,NBA,C,55,766,13.6,.579,.000,.339,7.7,19.0,13.6,5.6,2.6,8.5,19.2,10.8,,0.6,2.2,2.7,.170,,-3.0,7.5,4.5,1.2
3878,Steve Stipanovich,stipast01,1983-84,23,IND,NBA,C,81,2426,12.6,.526,.020,.298,5.3,20.2,12.8,9.9,1.4,1.6,14.9,18.4,,0.4,3.3,3.6,.072,,-2.5,1.3,-1.2,0.5
3879,Bryant Stith,stithbr01,1992-93,22,DEN,NBA,SG,39,865,11.7,.525,.014,.428,4.7,10.5,7.6,8.1,1.3,0.3,11.8,17.6,,0.8,0.8,1.6,.090,,-2.0,-0.9,-2.8,-0.2
3882,Alex Stivrins,stivral01,1985-86,23,SEA,NBA,SF,3,14,-5.9,.260,.000,1.000,24.7,0.0,12.7,9.3,0.0,0.0,34.2,26.2,,-0.1,0.0,-0.1,-0.347,,-10.3,-3.1,-13.4,0.0
3883,David Stockton,stockda01,2014-15,23,SAC,NBA,PG,3,33,10.8,.463,.333,1.000,0.0,6.6,3.4,39.1,3.1,0.0,31.6,16.9,,0.0,0.0,0.0,-0.014,,-4.4,-4.0,-8.4,-0.1
3884,John Stockton,stockjo01,1984-85,22,UTA,NBA,PG,82,1490,13.3,.548,.033,.580,1.9,5.4,3.6,35.9,3.3,0.4,26.4,15.1,,0.8,2.3,3.1,.100,,-2.0,-0.7,-2.6,-0.2
3885,Peja Stojakovic,stojape01,1998-99,21,SAC,NBA,SF,48,1025,13.5,.496,.477,.198,4.4,10.2,7.4,10.8,2.0,0.4,11.6,19.1,,1.0,0.7,1.7,.081,,0.2,-1.2,-1.0,0.2
3886,Ed Stokes,stokeed01,1997-98,26,TOR,NBA,C,4,17,6.4,.387,.000,.667,6.3,20.6,13.2,8.6,3.0,8.1,34.0,15.2,,-0.1,0.0,0.0,-0.077,,-9.3,3.9,-5.4,0.0
3887,Greg Stokes,stokegr01,1985-86,22,PHI,NBA,PF,31,350,10.6,.491,.008,.176,8.6,9.6,9.1,6.9,1.9,1.8,12.9,16.9,,0.1,0.4,0.5,.068,,-1.9,-0.1,-2.0,0.0
3888,Jarnell Stokes,stokeja01,2014-15,21,MEM,NBA,PF,19,126,18.6,.578,.000,.757,14.6,16.3,15.4,5.2,2.1,3.3,12.4,20.5,,0.3,0.2,0.5,.186,,-0.2,0.7,0.5,0.1
3892,Diamond Stone,stonedi01,2016-17,19,LAC,NBA,C,7,24,-1.2,.339,.000,.308,4.8,22.7,14.0,0.0,0.0,3.4,11.9,31.3,,-0.1,0.0,-0.1,-0.211,,-17.3,-6.8,-24.1,-0.1
3894,Julyan Stone,stoneju01,2011-12,23,DEN,NBA,SG,22,179,13.0,.502,.355,.355,3.4,12.6,8.1,28.3,2.3,2.6,23.5,11.7,,0.2,0.2,0.4,.101,,-1.1,0.9,-0.2,0.1
3895,Awvee Storey,storeaw01,2004-05,27,NJN,NBA,SG,9,32,6.9,.368,.200,.200,14.8,3.8,9.4,5.2,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,.026,,-3.2,-3.9,-7.1,0.0
3896,Damon Stoudamire,stoudda01,1995-96,22,TOR,NBA,PG,70,2865,16.7,.528,.298,.262,2.4,9.3,5.8,37.4,1.8,0.5,17.5,23.5,,3.7,0.6,4.3,.072,,2.2,-2.7,-0.6,1.0
3897,Salim Stoudamire,stoudsa01,2005-06,23,ATL,NBA,SG,61,1236,12.5,.545,.439,.224,1.1,10.4,5.6,10.5,1.2,0.2,13.2,22.9,,1.1,0.0,1.2,.046,,-0.2,-4.3,-4.5,-0.8
3898,Amar'e Stoudemire,stoudam01,2002-03,20,PHO,NBA,PF,82,2570,16.2,.530,.012,.583,10.9,20.9,15.9,5.0,1.3,2.5,15.3,21.5,,2.6,3.6,6.2,.116,,-1.6,0.4,-1.1,0.6
3899,Paul Stovall,stovapa01,1972-73,24,PHO,NBA,SF,25,211,9.4,.410,,.500,,,14.0,7.8,,,,,,-0.3,0.1,-0.1,-0.024,,,,,
3900,D.J. Strawberry,strawdj01,2007-08,22,PHO,NBA,SG,33,270,6.2,.364,.272,.207,4.1,7.4,5.9,14.8,2.2,1.5,9.9,18.5,,-0.4,0.2,-0.2,-0.031,,-4.5,-0.6,-5.1,-0.2
3903,Erick Strickland,stricer01,1996-97,23,DAL,NBA,SG,28,759,11.0,.510,.359,.313,3.2,10.7,6.9,15.6,1.9,0.5,18.5,21.6,,-0.2,0.5,0.3,.017,,-1.7,-0.9,-2.6,-0.1
3904,Mark Strickland,stricma01,1994-95,24,IND,NBA,PF,4,9,13.8,.387,.000,.667,27.4,26.3,26.9,0.0,0.0,8.6,20.5,24.8,,0.0,0.0,0.0,-0.024,,-10.0,-4.0,-14.0,0.0
3905,Rod Strickland,stricro02,1988-89,22,NYK,NBA,PG,81,1358,18.0,.539,.104,.407,4.1,9.1,6.5,31.8,3.3,0.1,18.1,23.3,,2.2,1.5,3.7,.131,,1.2,-0.7,0.5,0.9
3907,John Stroeder,stroejo01,1987-88,29,MIL,NBA,PF,41,271,7.0,.423,.025,.380,10.0,19.6,14.8,9.9,0.5,2.6,20.7,18.1,,-0.4,0.3,-0.1,-0.013,,-5.9,0.4,-5.5,-0.2
3908,Derek Strong,stronde01,1991-92,23,WSB,NBA,PF,1,12,3.2,.260,.000,1.000,8.9,37.4,22.8,9.8,0.0,0.0,14.8,23.8,,-0.1,0.0,0.0,-0.160,,-12.9,-2.7,-15.6,0.0
3909,Lamont Strothers,strotla01,1991-92,23,POR,NBA,SG,4,17,6.0,.363,.167,.333,6.4,0.0,3.2,9.2,2.9,3.7,12.7,37.8,,-0.1,0.0,-0.1,-0.158,,-8.3,-3.0,-11.3,0.0
3910,John Stroud,stroujo01,1980-81,23,HOU,NBA,SF,9,88,6.4,.350,.000,.118,8.8,7.7,8.2,13.2,0.5,0.0,10.1,18.3,,-0.1,0.0,-0.1,-0.036,,-4.0,-2.5,-6.5,-0.1
3912,Rodney Stuckey,stuckro01,2007-08,21,DET,NBA,PG,57,1081,13.8,.484,.042,.408,3.5,10.8,7.1,23.9,2.5,0.4,14.8,23.1,,0.4,1.6,2.0,.090,,-1.6,0.5,-1.1,0.3
3916,Jared Sullinger,sullija01,2012-13,20,BOS,NBA,PF,45,892,13.5,.534,.022,.280,12.6,22.1,17.5,6.2,1.3,1.9,10.3,14.9,,1.3,1.4,2.7,.146,,-1.6,0.9,-0.6,0.3
3917,DaJuan Summers,summeda01,2009-10,22,DET,NBA,SF,44,405,7.5,.457,.323,.292,3.9,9.9,6.7,6.3,1.1,1.5,9.8,18.5,,-0.1,0.1,0.0,.002,,-3.3,-2.5,-5.8,-0.4
3918,Barry Sumpter,sumptba01,1988-89,23,LAC,NBA,PF,1,1,-30.2,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,,0.0,0.0,0.0,-0.894,,-31.1,-12.4,-43.5,0.0
3920,Bruno Sundov,sundobr01,1998-99,18,DAL,NBA,C,3,11,-8.8,.286,.000,.000,0.0,0.0,0.0,16.8,0.0,0.0,12.5,33.4,,-0.1,0.0,-0.1,-0.328,,-13.3,-10.3,-23.5,-0.1
3921,Jon Sundvold,sundvjo01,1983-84,22,SEA,NBA,PG,73,1284,12.1,.488,.076,.148,2.0,6.0,4.0,26.4,1.1,0.0,13.5,19.4,,0.5,0.6,1.2,.044,,-1.6,-3.1,-4.7,-0.9
3922,Bob Sura,surabo01,1995-96,22,CLE,NBA,SG,79,1150,15.0,.500,.217,.392,3.9,11.9,7.8,35.7,2.8,1.6,21.4,23.6,,0.2,1.5,1.6,.069,,-1.7,-0.1,-1.8,0.1
3925,Dane Suttle,suttlda01,1983-84,22,KCK,NBA,SG,40,469,15.3,.550,.014,.220,5.0,6.2,5.6,14.9,2.0,0.0,12.0,22.9,,0.6,0.3,0.9,.094,,0.0,-2.1,-2.0,0.0
3926,Greg Sutton,suttogr01,1991-92,24,SAS,NBA,PG,67,601,7.8,.473,.371,.188,1.1,7.4,4.3,21.7,2.2,0.9,21.2,23.1,,-0.8,0.8,-0.1,-0.006,,-3.3,-1.8,-5.1,-0.5
3929,Caleb Swanigan,swanica01,2017-18,20,POR,NBA,PF,23,163,7.4,.417,.151,.245,10.2,19.2,14.8,12.4,1.5,1.5,19.3,19.6,,-0.2,0.2,0.0,-0.005,,-5.4,0.9,-4.5,-0.1
3932,Mike Sweetney,sweetmi01,2003-04,21,NYK,NBA,PF,42,494,17.2,.544,.007,.414,16.1,20.5,18.3,4.8,2.0,1.8,16.2,18.6,,0.8,0.7,1.4,.138,,-0.8,-0.2,-1.0,0.1
3933,Robert Swift,swiftro01,2004-05,19,SEA,NBA,C,16,72,5.2,.501,.000,.818,1.7,6.8,4.2,4.2,0.8,7.6,21.1,12.2,,0.0,0.1,0.0,.004,,-5.4,2.6,-2.8,0.0
3934,Skeeter Swift,swiftsk01,1969-70,23,NOB,ABA,SG,66,1089,11.1,.490,.229,.308,,,4.2,10.9,,,14.0,25.5,,0.8,1.0,1.8,.078,,,,,
3935,Stromile Swift,swiftst01,2000-01,21,VAN,NBA,PF,80,1312,13.1,.487,.012,.416,9.6,15.1,12.4,3.5,2.5,4.3,13.8,16.2,,0.2,1.6,1.9,.069,,-3.4,1.9,-1.5,0.2
3936,Aaron Swinson,swinsaa01,1994-95,24,PHO,NBA,SF,9,51,11.7,.594,.000,.278,6.7,11.3,9.0,9.0,1.0,0.0,19.8,21.4,,0.0,0.0,0.0,.039,,-2.9,-2.9,-5.8,0.0
3937,Pape Sy,sypa01,2010-11,22,ATL,NBA,SF,3,21,9.2,.478,.167,.500,11.6,5.7,8.6,14.5,2.6,0.0,29.1,23.3,,0.0,0.0,0.0,-0.047,,-5.0,-1.1,-6.0,0.0
3939,Larry Sykes,sykesla01,1995-96,22,BOS,NBA,PF,1,2,0.0,,,,54.7,57.4,56.0,0.0,0.0,0.0,100.0,21.5,,0.0,0.0,0.0,-0.397,,-21.0,-7.4,-28.3,0.0
3940,Brett Szabo,szabobr01,1996-97,28,BOS,NBA,C,70,662,8.8,.517,.008,.504,9.0,20.5,14.3,3.7,1.2,3.6,21.7,12.2,,0.0,0.5,0.4,.031,,-5.3,-0.1,-5.4,-0.6
3941,Wally Szczerbiak,szczewa02,1999-00,22,MIN,NBA,SF,73,2171,15.4,.571,.117,.241,4.7,9.9,7.3,14.2,1.4,0.8,10.1,17.1,,4.5,1.7,6.2,.137,,1.6,-0.4,1.2,1.8
3943,Zan Tabak,tabakza01,1994-95,24,HOU,NBA,C,37,182,11.2,.518,.019,.830,15.3,20.4,18.0,3.3,0.6,2.7,19.9,22.3,,-0.1,0.2,0.2,.043,,-5.7,-2.5,-8.2,-0.3
3944,Yuta Tabuse,tabusyu01,2004-05,24,PHO,NBA,PG,4,17,15.6,.451,.167,.667,13.2,12.0,12.6,22.4,0.0,0.0,11.4,22.5,,0.0,0.0,0.0,.129,,0.1,-2.7,-2.6,0.0
3945,Chris Taft,taftch01,2005-06,20,GSW,NBA,C,17,144,15.6,.578,.000,.158,14.4,13.5,13.9,2.4,0.7,3.6,4.7,13.2,,0.3,0.1,0.5,.155,,-0.9,-0.4,-1.3,0.0
3947,Dragan Tarlac,tarladr01,2000-01,27,CHI,NBA,C,43,598,5.6,.454,.000,.333,7.1,17.5,12.1,8.4,0.6,2.4,25.1,11.8,,-0.4,0.2,-0.2,-0.016,,-6.0,-0.3,-6.3,-0.7
3948,Roy Tarpley,tarplro01,1986-87,22,DAL,NBA,PF,75,1405,15.2,.501,.006,.279,14.1,26.7,20.5,5.0,1.9,3.2,15.3,19.1,,0.6,2.5,3.1,.105,,-2.2,1.4,-0.8,0.4
3950,Earl Tatum,tatumea01,1976-77,23,LAL,NBA,SG,68,1249,16.5,.490,,.165,6.9,12.2,9.6,13.5,3.1,0.9,,,,0.9,1.7,2.6,.101,,0.5,0.2,0.7,0.9
3951,Jayson Tatum,tatumja01,2017-18,19,BOS,NBA,SF,76,2322,15.1,.588,.289,.307,2.3,15.8,9.2,8.1,1.5,2.1,10.8,19.3,,2.9,3.9,6.8,.140,,-0.6,1.5,0.9,1.7
3952,Edy Tavares,tavarwa01,2015-16,23,ATL,NBA,C,11,73,14.4,.555,.000,.421,10.7,20.5,15.7,6.3,0.7,6.5,18.2,16.9,,0.0,0.1,0.2,.106,,-4.9,2.5,-2.3,0.0
3953,Anthony Taylor,tayloan01,1988-89,23,MIA,NBA,PG,21,368,11.1,.436,.013,.212,3.2,7.3,5.2,18.0,2.9,0.8,10.8,20.4,,-0.1,0.3,0.2,.029,,-3.1,-0.7,-3.8,-0.2
3954,Brian Taylor,taylobr01,1972-73,21,NYA,ABA,PG,63,2038,13.6,.555,.033,.295,4.0,6.1,5.1,13.3,,,13.7,20.2,,3.5,0.1,3.6,.085,,,,,
3955,Donell Taylor,taylodo01,2005-06,23,WAS,NBA,SG,51,465,10.1,.452,.125,.316,3.9,9.5,6.6,15.2,3.4,0.7,18.0,18.1,,-0.3,0.5,0.2,.017,,-3.5,0.3,-3.2,-0.1
3956,Fatty Taylor,taylofa01,1969-70,23,WSA,ABA,PG,83,1994,10.4,.523,.012,.508,,,8.3,12.7,,,19.8,14.1,,1.9,0.7,2.6,.062,,,,,
3958,Isaiah Taylor,taylois01,2016-17,22,HOU,NBA,PG,4,52,0.3,.190,.286,.286,2.1,4.2,3.1,7.1,0.9,1.6,0.0,6.4,,-0.1,0.0,0.0,-0.028,,-6.4,-0.1,-6.5,-0.1
