,Name,Draft_Pick
650,Vince Carter,5
651,Michael Carter-Williams,11
652,Bill Cartwright,3
653,Jay Carty,46
654,Alex Caruso,
655,Cornelius Cash,24
656,Sam Cash,66
657,Sam Cassell,24
658,Omri Casspi,23
659,Harvey Catchings,38
660,Terry Catledge,21
661,Sid Catlett,55
662,Kelvin Cato,15
663,Bobby Cattage,65
664,Willie Cauley-Stein,6
665,Duane Causwell,18
666,Tyler Cavanaugh,
667,Ron Cavenall,
668,Cedric Ceballos,48
669,John Celestand,30
670,Al Cervi,
671,Lionel Chalmers,33
672,Mario Chalmers,34
673,Bill Chamberlain,43
674,Wilt Chamberlain,
675,Jerry Chambers,7
676,Tom Chambers,8
677,Mike Champion,
678,Tyson Chandler,2
679,Wilson Chandler,23
680,Don Chaney,12
681,John Chaney,
682,Rex Chapman,8
683,Wayne Chapman,56
684,Len Chappell,4
685,Ken Charles,38
686,Lorenzo Charles,41
687,Calbert Cheaney,6
688,Maurice Cheeks,36
689,Phil Chenier,4
690,Will Cherry,
691,Derrick Chievous,16
692,Pete Chilcutt,27
693,Josh Childress,6
694,Randolph Childress,19
695,Chris Childs,
696,Leroy Chollet,
697,Jim Chones,31
698,Marquese Chriss,8
699,Fred Christ,
700,Cal Christensen,
701,Bob Christian,09
702,Doug Christie,17
703,Dionte Christmas,
704,Rakeem Christmas,36
705,Semaj Christon,55
706,Patrick Christopher,
707,Stephen Chubin,23
708,Robert Churchwell,
709,Archie Clark,37
710,Carlos Clark,91
711,Earl Clark,14
712,Ian Clark,
713,Keon Clark,13
714,Richard Clark,
715,Coty Clarke,
716,Jordan Clarkson,46
717,Gian Clavell,
718,Victor Claver,22
719,John Clawson,
720,Charles Claxton,50
721,Speedy Claxton,20
722,Jim Cleamons,13
723,Mateen Cleaves,14
724,Barry Clemens,19
725,Antonius Cleveland,
726,Nat Clifton,
727,Bill Closs,
728,Keith Closs,
729,Paul Cloyd,
730,Bob Cluggish,
731,Ben Clyde,89
732,Richard Coffey,
733,Fred Cofield,73
734,John Coker,
735,Norris Cole,28
736,Ben Coleman,37
737,Derrick Coleman,1
738,E.C. Coleman,51
739,Jack Coleman,
740,Norris Coleman,38
741,Bimbo Coles,40
742,Jason Collier,15
743,Art Collins,03
744,Don Collins,18
745,Doug Collins,1
746,James Collins,36
747,Jarron Collins,53
748,Jason Collins,18
749,Jimmy Collins,11
750,John Collins,19
751,Mardy Collins,29
752,Sherron Collins,
753,Zach Collins,10
754,Kyle Collinsworth,
755,Darren Collison,21
756,Nick Collison,12
757,Joe Colone,
758,Sean Colson,
759,Steve Colter,33
760,Glen Combs,51
761,Leroy Combs,26
762,John Comeaux,68
763,Dallas Comegys,21
764,Larry Comley,91
765,Jeffrey Congdon,32
766,Gene Conley,
767,Larry Conley,
768,Mike Conley,4
769,Ed Conlin,5
770,Marty Conlon,
771,Pat Connaughton,41
772,Jimmy Conner,36
773,Lester Conner,14
774,Chuck Connors,
775,Will Conroy,
776,Anthony Cook,24
777,Bert Cook,
778,Bobby Cook,
779,Brian Cook,24
780,Daequan Cook,21
781,Darwin Cook,70
782,Jeff Cook,49
783,Norm Cook,16
784,Omar Cook,32
785,Quinn Cook,
786,Charles Cooke,
787,David Cooke,
788,Joe Cooke,94
789,Jack Cooley,
790,Chuck Cooper,
791,Duane Cooper,36
792,Joe Cooper,95
793,Michael Cooper,60
794,Wayne Cooper,40
795,Tom Copa,
796,Chris Copeland,
797,Hollis Copeland,46
798,Lanard Copeland,
799,Tyrone Corbin,35
800,Chris Corchiani,36
801,Ken Corley,
802,Ray Corley,
803,Dave Corzine,18
804,Larry Costello,12
805,Matt Costello,
806,Bryce Cotton,
807,Jack Cotton,
808,James Cotton,32
809,John Coughran,74
810,Mel Counts,7
811,Steve Courtin,24
812,Joe Courtney,
813,Marcus Cousin,
814,DeMarcus Cousins,5
815,Bob Cousy,3
816,Robert Covington,
817,Dave Cowens,4
818,Chubby Cox,59
819,Johnny Cox,27
820,Wesley Cox,18
821,Allen Crabbe,31
822,Torrey Craig,
823,Chris Crawford,50
824,Freddie Crawford,63
825,Jamal Crawford,8
826,Joe Crawford,58
827,Jordan Crawford,27
828,Jim Creighton,40
829,Ron Crevier,75
830,Hal Crisler,
831,Joe Crispin,
832,Charlie Criss,
833,Russell Critchfield,
834,Winston Crite,53
835,Javaris Crittenton,19
836,Dillard Crocker,
837,Bobby Croft,23
838,Geoff Crompton,
839,Terry Crosby,62
840,Austin Croshere,12
841,Jeff Cross,61
842,Pete Cross,23
843,Russell Cross,6
844,Chink Crossin,6
845,John Crotty,
846,Bill Crow,
847,Mark Crow,11
848,Corey Crowder,
849,Jae Crowder,34
850,Al Cueto,30
851,Pat Cummings,59
852,Terry Cummings,2
853,Vonteego Cummings,26
854,Billy Cunningham,5
855,Dante Cunningham,33
856,Dick Cunningham,21
857,Jared Cunningham,24
858,William Cunningham,
859,Radisav Curcic,
860,Armand Cure,
861,Earl Cureton,58
862,Bill Curley,22
863,Fran Curran,
864,Dell Curry,15
865,Eddy Curry,4
866,JamesOn Curry,51
867,Michael Curry,
868,Seth Curry,
869,Stephen Curry,7
870,Rastko Cvetkovic,
871,Mike D'Antoni,20
872,Mike Dabich,60
873,Ed Dahler,
874,Quintin Dailey,7
875,Samuel Dalembert,26
876,Howie Dallmar,
877,Erick Dampier,10
878,Louie Dampier,38
879,Bob Dandridge,45
880,Antonio Daniels,4
881,Erik Daniels,
882,Lloyd Daniels,
883,Marquis Daniels,
884,Mel Daniels,9
885,Troy Daniels,
886,Sasha Danilovic,43
887,Adrian Dantley,6
888,Pete Darcey,
889,Jimmy Darden,
890,Ollie Darden,22
891,Yinka Dare,14
892,Jesse Dark,32
893,Rick Darnell,
894,Jimmy Darrow,38
895,Gigi Datome,
896,Brad Daugherty,1
897,Mack Daughtry,
898,Kornel David,
899,Jermareo Davidson,36
900,Bob Davies,
901,Brandon Davies,
902,Anthony Davis,1
903,Antonio Davis,45
904,Aubrey Davis,
905,Baron Davis,3
906,Ben Davis,43
907,Bill Davis,
908,Bob Davis,14
909,Brad Davis,15
910,Brian Davis,48
911,Charles Davis,35
912,Charlie Davis,20
913,Dale Davis,13
914,Deyonta Davis,31
915,Dwight Davis,3
916,Ed Davis,13
917,Emanual Davis,
918,Glen Davis,35
919,Harry Davis,33
920,Hubert Davis,20
921,Jim Davis,27
922,Johnny Davis,22
923,Josh Davis,
924,Lee Davis,33
925,Mark Davis,79
926,Mark Davis,48
927,Mel Davis,14
928,Mickey Davis,13
929,Mike Davis,14
930,Mike Davis,
931,Monti Davis,21
932,Paul Davis,34
933,Ralph Davis,17
934,Red Davis,52
935,Ricky Davis,21
936,Ron Davis,70
937,Terry Davis,
938,Walt Davis,
939,Walter Davis,5
940,Warren Davis,46
941,Willie Davis,08
942,Andre Dawkins,
943,Darryl Dawkins,5
944,Johnny Dawkins,10
945,Paul Dawkins,85
946,Branden Dawson,56
947,Eric Dawson,
948,Jimmy Dawson,54
949,Tony Dawson,
950,Todd Day,8
951,Austin Daye,15
952,Darren Daye,57
953,Nando De Colo,53
954,Greg Deane,67
955,Billy DeAngelis,
956,Dave DeBusschere,
957,Andrew DeClercq,34
958,Dewayne Dedmon,
959,Don Dee,25
960,Archie Dees,2
961,Terry Dehere,13
962,Red Dehnert,
963,Bryce Dejean-Jones,
964,Sam Dekker,18
965,Vinny Del Negro,29
966,Malcolm Delaney,
967,Bison Dele,10
968,Carlos Delfino,25
969,Tony Delk,16
970,Matthew Dellavedova,
971,Nate DeLong,
972,Fennis Dembo,30
973,Larry Demic,9
974,Dell Demps,
975,George Dempsey,68
976,Luol Deng,7
977,Kenny Dennard,78
978,Blaine Denning,
979,Justin Dentmon,
980,Randy Denton,61
981,Joe DePre,29
982,Rod Derline,69
983,DeMar DeRozan,9
984,Dave Deutsch,98
985,Corky Devlin,9
986,Hank DeZonie,
987,Derrick Dial,52
988,Cheick Diallo,33
989,Boris Diaw,21
990,Yakhouba Diawara,
991,Guillermo Diaz,52
992,Dan Dickau,28
993,Kaniel Dickens,50
994,Henry Dickerson,
995,Michael Dickerson,14
996,Clyde Dickey,12
997,Derrek Dickey,29
998,Dick Dickey,
999,John Dickson,22
1000,Travis Diener,38
1001,Gorgui Dieng,21
1002,Connie Dierking,5
1003,Coby Dietrick,55
1004,Ernie DiGregorio,3
1005,Craig Dill,42
1006,Dwaine Dillard,
1007,Mickey Dillard,55
1008,Bob Dille,
1009,Hook Dillon,
1010,Byron Dinkins,
1011,Jackie Dinkins,50
1012,Harry Dinnel,
1013,Bill Dinwiddie,
1014,Spencer Dinwiddie,38
1015,Ike Diogu,9
1016,DeSagana Diop,8
1017,Terry Dischinger,8
1018,Fred Diute,27
1019,Vlade Divac,26
1020,Juan Dixon,17
1021,Aleksandar Djordjevic,
1022,Earl Dodd,
1023,Michael Doleac,12
1024,Joe Dolhon,
1025,Bob Doll,
1026,James Donaldson,73
1027,Bob Donham,
1028,Billy Donovan,68
1029,Harry Donovan,
1030,Keyon Dooling,10
1031,Jacky Dorsey,26
1032,Joey Dorsey,33
1033,Ron Dorsey,04
1034,Tyler Dorsey,41
1035,Damyean Dotson,44
1036,Quincy Douby,19
1037,Bruce Douglas,57
1038,John Douglas,18
1039,Leon Douglas,4
1040,Sherman Douglas,28
1041,Toney Douglas,29
1042,Chris Douglas-Roberts,40
1043,Sonny Dove,4
1044,Jerry Dover,
1045,Zabian Dowdell,
1046,Bill Downey,
1047,Steve Downing,17
1048,Danny Doyle,44
1049,Milton Doyle,
1050,PJ Dozier,
1051,Terry Dozier,
