,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
191,Leandro Barbosa,barbole01,2003-04,21,PHO,NBA,PG,70,46,1500,7.3,16.2,.447,2.9,7.3,.395,4.4,9.0,.488,1.6,2.1,.770,0.8,3.5,4.2,5.7,3.2,0.2,4.1,6.4,19.0,,100,106
192,Steve Bardo,bardost01,1991-92,23,SAS,NBA,SG,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,49.9,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,,202,114
193,J.J. Barea,bareajo01,2006-07,22,DAL,NBA,PG,33,1,191,7.9,21.9,.359,1.7,5.9,.286,6.2,16.0,.386,4.5,6.7,.667,2.0,5.1,7.0,6.7,0.3,0.3,3.9,5.3,21.9,,94,108
194,Andrea Bargnani,bargnan01,2006-07,21,TOR,NBA,PF,65,2,1629,8.5,19.9,.427,3.2,8.5,.373,5.3,11.4,.468,3.7,4.5,.824,1.7,6.5,8.1,1.6,1.0,1.7,3.4,5.7,23.9,,99,106
197,Charles Barkley,barklch01,1984-85,21,PHI,NBA,PF,82,60,2347,8.7,15.9,.545,0.0,0.1,.167,8.6,15.8,.548,5.9,8.1,.733,5.4,8.9,14.3,3.1,1.9,1.6,4.2,6.1,23.3,,114,105
198,Erick Barkley,barkler01,2000-01,22,POR,NBA,PG,8,0,38,11.3,31.2,.364,4.3,11.3,.375,7.1,19.8,.357,0.0,0.0,,0.0,4.3,4.3,8.5,2.8,0.0,7.1,2.8,26.9,,82,103
200,Harrison Barnes,barneha02,2012-13,20,GSW,NBA,SF,81,81,2058,6.8,15.5,.439,1.3,3.6,.359,5.5,11.9,.464,3.6,4.7,.758,1.3,6.9,8.2,2.4,1.3,0.3,2.5,3.5,18.5,,102,107
203,Marvin Barnes,barnema01,1974-75,22,SSL,ABA,PF,77,,3076,11.5,23.1,.498,0.0,0.0,.000,11.5,23.0,.499,4.4,6.5,.670,6.2,11.6,17.8,3.7,1.4,2.0,4.5,4.8,27.3,,106,103
204,Matt Barnes,barnema02,2003-04,23,LAC,NBA,SF,38,9,724,4.6,10.1,.457,0.1,0.9,.154,4.4,9.1,.488,3.1,4.4,.705,3.9,7.1,11.0,3.5,2.0,0.2,3.2,5.5,12.5,,101,108
207,Nathaniel Barnett,barnena01,1975-76,23,INA,ABA,PG,12,,73,7.3,15.9,.462,0.0,0.6,.000,7.3,15.3,.480,1.8,4.9,.375,1.8,3.1,4.9,4.9,1.8,0.6,4.9,13.4,16.5,,84,106
212,Mike Barr,barrmi01,1973-74,23,VIR,ABA,SG,45,,652,5.8,12.0,.480,0.1,0.4,.400,5.6,11.7,.482,2.3,3.0,.767,1.5,3.4,5.0,5.8,1.9,0.3,4.2,5.6,14.0,,96,107
214,Andre Barrett,barrean01,2004-05,22,TOT,NBA,PG,38,1,483,4.9,13.6,.363,1.5,5.7,.269,3.4,7.9,.431,1.5,2.1,.737,1.2,3.2,4.4,7.5,2.1,0.1,3.0,5.6,12.9,,96,106
217,Earl Barron,barroea01,2005-06,24,MIA,NBA,C,8,0,45,5.8,18.6,.313,0.0,0.0,,5.8,18.6,.313,3.5,4.7,.750,2.3,9.3,11.6,0.0,0.0,0.0,5.8,11.6,15.1,,65,107
218,Dana Barros,barroda01,1989-90,22,SEA,NBA,PG,81,25,1630,9.2,22.8,.405,2.9,7.4,.399,6.3,15.4,.408,2.7,3.4,.809,1.1,3.0,4.1,6.3,1.6,0.0,3.8,3.0,24.2,,104,113
219,Brent Barry,barrybr01,1995-96,24,LAC,NBA,SG,79,44,1898,7.7,16.2,.474,3.3,8.0,.416,4.3,8.2,.532,3.0,3.7,.810,1.0,3.5,4.6,6.2,2.6,0.6,3.3,5.3,21.7,,117,111
220,Drew Barry,barrydr01,1997-98,24,ATL,NBA,PG,27,0,256,3.9,8.1,.474,1.9,4.5,.429,1.9,3.6,.529,2.4,2.8,.846,1.1,6.4,7.5,10.5,2.1,0.2,6.4,6.0,12.0,,98,105
221,Jon Barry,barryjo01,1992-93,23,MIL,NBA,SG,47,0,552,6.9,18.6,.369,1.9,5.7,.333,5.0,12.9,.385,3.0,4.4,.673,0.9,3.0,3.9,6.2,3.2,0.3,3.8,5.2,18.6,,92,111
222,Rick Barry,barryri01,1973-74,29,GSW,NBA,SF,80,,2918,12.0,26.4,.456,,,,12.0,26.4,.456,6.3,7.0,.899,1.6,6.6,8.2,7.3,2.6,0.6,,4.0,30.3,,,97
225,Will Barton,bartowi01,2012-13,22,POR,NBA,SG,73,5,894,6.9,18.2,.382,0.5,3.8,.138,6.4,14.3,.447,2.9,3.8,.769,2.1,6.4,8.5,3.4,2.0,0.5,3.5,3.3,17.3,,87,109
226,Eddie Basden,basdeed01,2005-06,22,CHI,NBA,SF,19,0,141,5.5,13.6,.405,0.4,2.6,.143,5.1,11.0,.467,2.9,3.7,.800,2.6,7.7,10.3,2.9,3.3,0.7,3.3,6.2,14.3,,92,99
228,Brandon Bass,bassbr01,2005-06,20,NOK,NBA,PF,29,1,268,5.6,14.1,.400,0.0,0.0,,5.6,14.1,.400,2.4,3.8,.632,3.6,10.1,13.7,0.6,0.6,1.4,2.2,3.6,13.7,,90,106
229,Tim Bassett,basseti01,1973-74,22,SDA,ABA,PF,82,,1854,5.5,11.8,.467,0.0,0.1,.000,5.5,11.7,.471,2.3,4.0,.593,6.0,8.1,14.1,2.6,1.4,0.8,2.1,4.4,13.4,,108,104
230,Maceo Baston,bastoma01,2002-03,27,TOR,NBA,PF,16,0,106,7.6,12.6,.600,0.0,0.0,,7.6,12.6,.600,5.0,6.0,.833,2.0,9.6,11.6,0.0,2.0,5.5,3.0,8.1,20.2,,113,100
231,Mengke Bateer,bateeme01,2001-02,26,DEN,NBA,C,27,10,408,6.9,17.2,.402,0.5,1.6,.333,6.4,15.6,.408,3.8,4.8,.784,4.2,8.3,12.5,2.9,1.3,0.7,4.2,12.2,18.1,,92,107
232,Billy Ray Bates,batesbi01,1979-80,23,POR,NBA,SG,16,,235,14.9,30.3,.493,1.7,3.9,.421,13.3,26.3,.504,5.8,8.1,.718,2.7,3.3,6.0,6.4,2.9,0.4,4.1,5.4,37.3,,112,104
233,Esteban Batista,batises01,2005-06,22,ATL,NBA,PF,57,3,495,3.6,8.6,.425,0.0,0.1,.000,3.6,8.5,.430,3.5,5.7,.623,6.5,8.9,15.4,0.8,1.6,1.2,4.1,11.9,10.8,,92,109
234,Mike Batiste,batismi01,2002-03,25,MEM,NBA,PF,75,2,1248,8.2,19.4,.422,0.7,3.4,.222,7.4,16.0,.464,2.9,3.7,.784,3.4,7.3,10.7,2.2,1.7,0.7,2.9,5.0,20.0,,96,107
