,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
4153,Ratko Varda,vardara01,2001-02,22,DET,NBA,C,1,0,6,17.8,26.7,.667,0.0,0.0,,17.8,26.7,.667,8.9,8.9,1.000,0.0,8.9,8.9,0.0,0.0,0.0,8.9,26.7,44.4,,102,105
4154,Anderson Varejao,varejan01,2004-05,22,CLE,NBA,PF,54,0,863,6.1,12.0,.513,0.0,0.1,.000,6.1,11.8,.518,4.2,7.9,.535,6.8,9.2,15.9,1.7,2.5,2.4,1.6,7.6,16.5,,117,101
4155,Jarvis Varnado,varnaja01,2012-13,24,TOT,NBA,PF,13,0,58,2.7,6.4,.429,0.0,0.0,,2.7,6.4,.429,1.8,3.6,.500,1.8,6.4,8.2,2.7,0.9,1.8,5.5,9.1,7.3,,68,105
4156,Greivis Vasquez,vasqugr01,2010-11,24,MEM,NBA,SG,70,1,860,5.8,14.2,.408,1.5,5.2,.291,4.3,8.9,.476,2.1,2.7,.773,0.7,3.7,4.4,9.2,1.3,0.2,4.3,5.0,15.1,,97,109
4158,David Vaughn,vaughda01,1974-75,22,VIR,ABA,C,83,,2507,8.0,18.9,.423,0.0,0.0,.000,8.0,18.9,.424,2.4,4.3,.546,5.2,11.7,16.9,2.5,1.5,2.4,3.7,5.2,18.4,,91,102
4159,David Vaughn,vaughda02,1995-96,22,ORL,NBA,PF,33,0,266,5.3,15.7,.338,0.0,0.2,.000,5.3,15.5,.342,2.0,3.5,.556,6.5,9.2,15.7,1.6,1.2,2.9,3.5,13.4,12.6,,83,104
4160,Jacque Vaughn,vaughja01,1997-98,22,UTA,NBA,PG,45,0,419,5.7,15.7,.361,0.4,1.0,.375,5.3,14.6,.360,6.2,8.7,.706,0.5,4.4,4.9,10.8,1.2,0.1,7.2,8.1,17.9,,86,109
4161,Rashad Vaughn,vaughra01,2015-16,19,MIL,NBA,SG,70,6,1001,4.1,13.5,.305,2.2,7.5,.293,1.9,6.1,.319,0.6,0.8,.800,0.6,3.9,4.5,2.0,1.5,0.8,1.4,3.7,11.0,,83,112
4163,Loy Vaught,vaughlo01,1990-91,22,LAC,NBA,PF,73,0,1178,7.1,14.6,.487,0.0,0.1,.000,7.1,14.6,.490,2.0,3.0,.662,5.1,9.2,14.2,1.6,0.8,0.9,2.0,5.5,16.3,,107,107
4164,Bob Verga,vergabo01,1973-74,28,POR,NBA,SG,21,,216,8.6,19.0,.452,,,,8.6,19.0,.452,4.1,6.6,.625,2.3,1.4,3.7,3.5,2.5,0.0,,4.5,21.3,,,105
4165,Pete Verhoeven,verhope01,1981-82,22,POR,NBA,PF,71,22,1207,5.9,11.7,.503,0.0,0.0,,5.9,11.7,.503,2.0,2.8,.708,4.2,5.9,10.1,2.1,1.7,0.9,2.2,8.5,13.8,,109,108
4166,Jan Vesely,veselja01,2011-12,21,WAS,NBA,PF,57,20,1078,5.6,10.5,.537,0.0,0.0,.000,5.6,10.4,.539,1.6,3.0,.532,4.9,7.1,12.0,2.3,1.9,1.5,2.9,7.5,12.8,,104,105
4167,Gundars Vetra,vetragu01,1992-93,25,MIN,NBA,SF,13,0,89,10.9,23.0,.475,1.7,1.7,1.000,9.2,21.3,.432,2.3,3.4,.667,2.3,2.3,4.6,3.4,1.1,0.0,1.1,6.9,25.9,,111,116
4168,Joao Vianna,viannjo01,1991-92,25,DAL,NBA,SF,1,0,9,5.6,11.3,.500,0.0,0.0,,5.6,11.3,.500,0.0,0.0,,0.0,0.0,0.0,11.3,0.0,0.0,5.6,16.9,11.3,,88,119
4169,Charlie Villanueva,villach01,2005-06,21,TOR,NBA,PF,81,36,2361,9.7,21.0,.463,1.6,4.8,.327,8.1,16.2,.503,2.5,3.6,.706,4.0,7.6,11.6,2.0,1.3,1.4,2.2,5.5,23.5,,107,111
4170,Jay Vincent,vinceja01,1981-82,22,DAL,NBA,PF,81,62,2626,13.3,26.9,.497,0.0,0.1,.250,13.3,26.8,.497,5.4,7.6,.716,3.4,7.1,10.5,3.3,1.7,0.4,3.6,5.7,32.1,,107,109
4171,Sam Vincent,vincesa01,1985-86,22,BOS,NBA,SG,57,0,432,6.5,17.8,.364,0.1,0.4,.250,6.4,17.3,.367,7.1,7.7,.929,1.2,4.1,5.3,7.6,1.9,0.4,5.4,6.5,20.2,,94,104
4172,Marcus Vinicius,vincima01,2006-07,22,NOK,NBA,SF,13,0,103,3.6,7.7,.467,1.5,3.6,.429,2.1,4.1,.500,2.6,3.6,.714,1.0,4.6,5.7,2.6,1.0,0.5,3.1,5.2,11.4,,102,109
4173,Fred Vinson,vinsofr01,1994-95,24,ATL,NBA,SG,5,0,27,2.0,13.9,.143,2.0,11.9,.167,0.0,2.0,.000,2.0,2.0,1.000,0.0,0.0,0.0,2.0,0.0,0.0,4.0,7.9,7.9,,54,115
4175,Gary Voce,vocega01,1989-90,24,CLE,NBA,PF,1,0,4,12.6,37.9,.333,0.0,0.0,,12.6,37.9,.333,0.0,0.0,,25.3,0.0,25.3,0.0,0.0,0.0,0.0,0.0,25.3,,102,116
4177,Alexander Volkov,volkoal01,1989-90,25,ATL,NBA,C,72,4,937,7.3,15.2,.482,0.7,1.8,.382,6.6,13.4,.496,3.7,6.4,.583,2.8,3.6,6.4,4.4,1.9,1.2,2.8,8.9,19.1,,110,113
4179,Noah Vonleh,vonleno01,2014-15,19,CHO,NBA,PF,25,0,259,6.0,15.2,.395,1.0,2.6,.385,5.0,12.6,.397,3.6,5.2,.692,5.6,11.6,17.1,0.8,0.8,1.8,2.2,4.0,16.5,,99,102
4180,Jake Voskuhl,voskuja01,2000-01,23,CHI,NBA,C,16,2,143,4.1,9.4,.440,0.0,0.0,,4.1,9.4,.440,3.0,5.3,.571,4.5,8.3,12.8,1.9,1.9,2.3,4.5,14.3,11.3,,84,104
4181,Danny Vranes,vraneda01,1981-82,23,SEA,NBA,SF,77,1,1075,6.4,11.7,.546,0.0,0.0,.000,6.4,11.7,.548,4.0,6.6,.601,3.2,5.7,8.8,2.5,1.3,0.9,3.0,6.7,16.7,,107,104
4182,Slavko Vranes,vranesl01,2003-04,21,POR,NBA,C,1,0,3,0.0,18.6,.000,0.0,0.0,,0.0,18.6,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,,0,114
4183,Stojko Vrankovic,vrankst01,1990-91,27,BOS,NBA,C,31,0,166,7.0,15.3,.462,0.0,0.0,,7.0,15.3,.462,2.9,5.3,.556,4.4,10.6,15.0,1.2,0.3,8.5,7.0,12.6,17.0,,80,100
4184,Brett Vroman,vromabr01,1980-81,25,UTA,NBA,C,11,,93,5.3,14.3,.370,0.0,0.5,.000,5.3,13.7,.385,7.4,10.0,.737,3.7,9.5,13.2,4.8,2.6,2.6,4.8,13.7,18.0,,94,103
4185,Jackson Vroman,vromaja01,2004-05,23,TOT,NBA,C-PF,46,18,705,6.3,15.4,.412,0.0,0.2,.000,6.3,15.1,.418,3.7,5.8,.640,4.9,8.6,13.5,3.1,1.9,1.5,4.9,8.1,16.4,,87,105
4186,Nikola Vucevic,vucevni01,2011-12,21,PHI,NBA,C,51,15,812,8.6,19.2,.450,0.2,0.5,.375,8.4,18.7,.452,1.2,2.2,.529,5.8,10.4,16.2,2.0,1.3,2.2,2.2,7.3,18.7,,99,97
4187,Sasha Vujacic,vujacsa01,2004-05,20,LAL,NBA,SG,35,3,403,4.3,15.3,.282,2.2,8.3,.270,2.1,7.1,.296,2.4,2.5,.947,1.7,6.4,8.1,6.7,1.6,0.3,2.0,5.4,13.2,,98,112
4188,Dwyane Wade,wadedw01,2003-04,22,MIA,NBA,PG,61,56,2126,9.5,20.5,.465,0.4,1.4,.302,9.1,19.1,.477,6.0,8.0,.747,2.2,4.2,6.3,7.1,2.2,0.9,5.0,3.6,25.4,,101,102
4189,Mark Wade,wadema01,1987-88,22,GSW,NBA,PG,11,0,123,1.2,7.7,.150,0.0,0.8,.000,1.2,6.9,.167,0.8,1.5,.500,1.2,4.6,5.8,13.1,2.7,0.4,5.0,5.0,3.1,,65,112
4190,Von Wafer,wafervo01,2005-06,20,LAL,NBA,SG,16,0,73,4.3,27.5,.158,1.4,12.3,.118,2.9,15.2,.190,4.3,5.8,.750,3.6,2.2,5.8,2.9,2.2,0.0,0.7,8.7,14.5,,68,108
4192,Dajuan Wagner,wagneda02,2002-03,19,CLE,NBA,SG,47,24,1385,8.2,22.3,.369,2.0,6.4,.316,6.2,15.9,.390,4.7,5.9,.800,0.7,2.3,3.0,4.8,1.4,0.3,3.1,3.9,23.2,,96,111
4194,Milt Wagner,wagnemi01,1987-88,24,LAL,NBA,SG,40,4,380,7.9,18.7,.422,0.3,1.3,.200,7.6,17.5,.438,3.3,3.7,.897,0.5,3.1,3.6,7.8,0.8,0.5,2.8,5.4,19.4,,102,112
4196,Dion Waiters,waitedi01,2012-13,21,CLE,NBA,SG,61,48,1756,10.0,24.1,.412,1.9,6.0,.310,8.1,18.1,.446,4.7,6.3,.746,0.7,3.8,4.4,5.4,1.7,0.5,3.6,3.3,26.5,,99,111
4197,Granville Waiters,waitegr01,1983-84,23,IND,NBA,C,78,8,1040,5.6,10.8,.517,0.0,0.0,.000,5.6,10.7,.519,1.4,2.3,.608,2.9,7.4,10.3,2.7,1.1,3.8,2.9,7.4,12.5,,97,104
4198,Andre Wakefield,wakefan01,1978-79,24,TOT,NBA,SG,73,,586,4.7,13.5,.350,,,,4.7,13.5,.350,3.7,5.3,.696,1.9,3.9,5.8,5.4,1.5,0.2,5.6,5.4,13.2,,78,108
4201,Antoine Walker,walkean02,1996-97,20,BOS,NBA,PF,82,68,2970,9.7,22.9,.425,0.9,2.7,.327,8.8,20.2,.438,3.9,6.2,.631,4.9,7.6,12.5,4.4,1.8,0.9,3.9,4.6,24.2,,98,111
4204,Darrell Walker,walkeda01,1983-84,22,NYK,NBA,PG,82,0,1324,7.9,19.0,.417,0.1,0.5,.267,7.8,18.4,.421,7.6,9.6,.791,2.7,3.4,6.1,10.4,4.6,0.5,7.1,7.4,23.6,,97,99
4205,Foots Walker,walkefo01,1974-75,23,CLE,NBA,PG,72,,1070,5.0,12.3,.404,,,,5.0,12.3,.404,3.6,5.2,.684,2.1,4.4,6.5,8.6,3.6,0.3,,5.6,13.5,,,95
4206,Henry Walker,walkebi01,2008-09,21,BOS,NBA,SF,29,0,216,8.9,14.3,.621,0.0,0.2,.000,8.9,14.0,.632,3.9,5.7,.696,2.0,5.2,7.1,3.2,1.5,0.5,4.4,12.5,21.6,,108,104
4209,Kemba Walker,walkeke02,2011-12,21,CHA,NBA,PG,66,25,1792,8.3,22.6,.366,2.0,6.6,.305,6.2,15.9,.392,4.9,6.3,.789,0.9,6.0,6.9,8.5,1.8,0.6,3.5,2.3,23.5,,96,111
4210,Kenny Walker,walkeke01,1986-87,22,NYK,NBA,SF,68,64,1719,8.1,16.5,.491,0.0,0.1,.000,8.1,16.3,.494,4.0,5.2,.757,3.3,6.2,9.6,2.1,1.4,1.4,2.1,6.7,20.1,,110,111
4212,Samaki Walker,walkesa01,1996-97,20,DAL,NBA,PF,43,12,602,7.4,16.7,.444,0.0,0.1,.000,7.4,16.7,.446,4.3,6.6,.649,4.2,9.0,13.2,1.5,1.3,2.0,3.5,6.4,19.2,,95,106
4213,Wally Walker,walkewa01,1976-77,22,POR,NBA,SF,66,,627,9.7,21.6,.449,,,,9.7,21.6,.449,4.7,7.1,.670,3.2,4.5,7.7,3.6,1.0,0.1,,6.5,24.2,,,102
4214,John Wall,walljo01,2010-11,20,WAS,NBA,PG,69,64,2606,7.8,19.1,.409,0.7,2.3,.296,7.1,16.8,.425,5.9,7.7,.766,0.7,5.5,6.2,11.3,2.4,0.7,5.1,3.4,22.2,,100,110
4215,Ben Wallace,wallabe01,1996-97,22,WSB,NBA,PF,34,0,197,4.2,12.1,.348,0.0,0.0,,4.2,12.1,.348,1.6,5.3,.300,6.6,8.7,15.3,0.5,2.1,2.9,4.7,7.1,10.0,,72,101
4216,Gerald Wallace,wallage01,2001-02,19,SAC,NBA,SF,54,1,430,8.8,20.4,.429,0.0,0.8,.000,8.8,19.6,.446,2.7,5.4,.500,5.7,4.7,10.4,3.2,2.2,0.7,2.6,5.4,20.2,,97,102
4217,John Wallace,wallajo01,1996-97,22,NYK,NBA,SF,68,6,787,8.2,15.9,.517,0.1,0.3,.500,8.1,15.6,.517,5.3,7.4,.718,3.4,7.0,10.4,2.5,1.4,1.7,5.1,6.9,21.9,,100,101
4218,Rasheed Wallace,wallara01,1995-96,21,WSB,NBA,PF,65,51,1788,7.9,16.2,.487,0.8,2.3,.329,7.1,13.8,.513,2.2,3.4,.650,2.7,6.0,8.7,2.4,1.2,1.5,2.9,5.9,18.8,,102,108
4220,Tyrone Wallace,wallaty01,2017-18,23,LAC,NBA,PG,25,15,700,6.3,14.0,.450,0.7,2.2,.323,5.6,11.9,.474,3.8,4.9,.786,1.2,5.3,6.5,4.0,1.6,0.8,2.4,4.7,17.2,,106,111
4222,Jamie Waller,walleja01,1987-88,23,NJN,NBA,SG,9,0,91,8.6,21.4,.400,0.0,1.1,.000,8.6,20.3,.421,5.4,9.6,.556,4.8,2.1,7.0,1.6,2.1,0.5,5.9,7.0,22.5,,83,111
4223,Taurean Prince,princta02,2016-17,22,ATL,NBA,SF,59,10,981,5.7,14.3,.400,1.7,5.1,.324,4.1,9.2,.443,3.7,4.7,.787,1.3,6.6,7.9,2.8,2.2,1.4,3.1,4.8,16.8,,96,105
4225,Matt Walsh,walshma01,2005-06,23,MIA,NBA,SG,2,0,3,17.5,17.5,1.000,0.0,0.0,,17.5,17.5,1.000,0.0,34.9,.000,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,34.9,,42,113
4226,Rex Walters,waltere01,1993-94,23,NJN,NBA,SG,48,0,386,7.8,15.0,.522,1.8,3.6,.500,6.0,11.3,.529,3.6,4.4,.824,0.8,4.2,4.9,9.2,2.0,0.4,3.9,5.3,21.1,,117,107
4229,Bill Walton,waltobi01,1974-75,22,POR,NBA,C,35,,1153,7.0,13.7,.513,,,,7.0,13.7,.513,3.7,5.4,.686,3.7,13.9,17.5,6.6,1.2,3.7,,4.6,17.8,,,91
4230,Derrick Walton,waltode01,2017-18,22,MIA,NBA,PG,15,0,142,2.8,8.5,.333,2.5,6.0,.412,0.4,2.5,.143,2.1,2.1,1.000,0.7,5.0,5.7,5.3,2.1,1.1,0.7,2.1,10.3,,125,107
4231,Lloyd Walton,waltoll01,1976-77,23,MIL,NBA,PG,53,,678,5.8,12.3,.468,,,,5.8,12.3,.468,3.5,4.3,.815,1.0,2.4,3.3,9.2,2.6,0.1,,3.4,15.0,,,104
4232,Luke Walton,waltolu01,2003-04,23,LAL,NBA,PF,72,2,730,4.6,10.9,.425,0.9,2.8,.333,3.7,8.1,.456,2.2,3.1,.705,2.8,6.3,9.0,8.1,2.0,0.6,3.1,5.0,12.4,,105,102
4235,Charlie Ward,wardch01,1994-95,24,NYK,NBA,PG,10,0,44,4.8,22.7,.211,1.2,12.0,.100,3.6,10.8,.333,8.4,12.0,.700,1.2,6.0,7.2,4.8,2.4,0.0,9.6,8.4,19.1,,63,103
4237,Henry Ward,wardhe01,1975-76,24,SAA,ABA,SG,61,,688,10.1,21.8,.462,0.4,1.5,.261,9.7,20.3,.477,1.0,1.8,.593,2.9,6.2,9.1,2.3,1.0,0.7,2.9,6.5,21.6,,97,106
4238,Casper Ware,wareca01,2013-14,24,PHI,NBA,PG,9,0,116,7.5,17.5,.429,2.9,8.8,.333,4.6,8.8,.524,2.1,2.5,.833,0.0,3.8,3.8,4.2,3.3,0.0,2.1,4.6,20.0,,105,109
4243,Jameel Warney,warneja01,2017-18,24,DAL,NBA,PF,3,0,27,13.0,22.3,.583,0.0,0.0,,13.0,22.3,.583,5.6,9.3,.600,7.4,9.3,16.7,0.0,0.0,0.0,1.9,3.7,31.6,,119,112
4244,Bob Warren,warrebo01,1973-74,27,TOT,ABA,SG,59,,799,6.8,15.9,.431,0.0,0.4,.000,6.8,15.5,.442,3.9,4.5,.863,3.3,3.2,6.5,4.6,1.3,0.8,3.9,4.5,17.6,,98,105
4246,T.J. Warren,warretj01,2014-15,21,PHO,NBA,SF,40,1,614,9.2,17.4,.528,0.4,1.7,.238,8.8,15.7,.560,1.1,1.5,.737,3.3,3.6,6.9,2.0,1.5,0.7,2.2,4.1,19.9,,108,109
4247,Willie Warren,warrewi01,2010-11,21,LAC,NBA,PG,19,0,134,5.0,13.5,.371,1.9,5.8,.333,3.1,7.7,.400,2.3,3.1,.750,0.4,4.2,4.6,10.4,2.3,0.0,3.1,6.2,14.3,,105,110
4248,Bryan Warrick,warribr01,1982-83,23,WSB,NBA,PG,43,20,727,4.3,11.4,.380,0.0,0.3,.000,4.3,11.0,.392,2.8,3.8,.737,1.0,3.6,4.6,8.4,1.4,0.5,4.7,6.8,11.4,,85,102
4249,Hakim Warrick,warriha01,2005-06,23,MEM,NBA,PF,68,2,724,7.8,17.5,.443,0.0,0.0,,7.8,17.5,.443,5.8,8.8,.661,3.3,7.8,11.1,2.3,1.1,1.6,4.3,8.7,21.4,,94,102
4250,Chris Washburn,washbch01,1986-87,21,GSW,NBA,C,35,2,385,7.0,17.8,.393,0.0,0.1,.000,7.0,17.7,.396,2.2,6.3,.353,4.4,8.0,12.4,2.0,0.7,1.0,4.8,6.3,16.2,,78,111
4252,Darius Washington,washida01,2007-08,22,SAS,NBA,SG,18,0,146,7.8,17.8,.438,1.5,4.4,.333,6.3,13.3,.472,2.6,4.8,.538,1.5,5.9,7.4,5.6,1.9,0.0,5.2,5.9,19.6,,89,103
4253,Donald Washington,washido01,1974-75,22,DNA,ABA,SF,50,,438,8.0,18.6,.432,0.0,0.2,.000,8.0,18.4,.436,3.9,5.7,.679,4.2,4.9,9.1,3.1,1.2,1.9,5.0,9.4,20.0,,92,104
4254,Duane Washington,washidu01,1987-88,23,NJN,NBA,SG,15,0,156,5.6,13.1,.429,0.6,1.2,.500,5.0,11.9,.421,5.0,6.2,.800,1.6,5.3,6.9,10.6,3.7,0.0,2.8,7.2,16.9,,115,107
4255,Eric Washington,washier01,1997-98,23,DEN,NBA,SG,66,36,1539,7.0,17.3,.404,1.5,4.8,.321,5.5,12.6,.435,2.3,2.9,.783,1.6,2.8,4.4,2.7,1.8,0.9,2.5,5.0,17.8,,96,115
4257,Kermit Washington,washike01,1973-74,22,LAL,NBA,PF,45,,400,7.8,16.2,.483,,,,7.8,16.2,.483,2.8,5.3,.531,6.7,9.1,15.8,2.0,2.3,1.9,,8.3,18.5,,,93
4258,Pearl Washington,washipe01,1986-87,23,NJN,NBA,PG,72,61,1600,7.6,15.8,.478,0.1,0.7,.167,7.5,15.1,.492,2.9,3.7,.784,1.1,2.7,3.8,8.9,2.7,0.2,5.2,5.4,18.1,,97,111
4259,Richard Washington,washiri01,1976-77,21,KCK,NBA,PF,82,,2265,8.9,20.6,.431,,,,8.9,20.6,.431,3.5,5.1,.697,4.0,9.9,13.9,1.7,1.3,1.8,,6.5,21.3,,,98
4263,Darryl Watkins,watkida01,2007-08,23,SAC,NBA,C,9,0,71,3.6,10.7,.333,0.0,0.0,,3.6,10.7,.333,1.4,3.6,.400,3.6,5.0,8.6,0.0,1.4,1.4,5.0,5.7,8.6,,62,111
4265,C.J. Watson,watsocj01,2007-08,23,GSW,NBA,PG,32,0,368,5.7,13.3,.426,1.2,3.4,.346,4.5,9.9,.453,3.0,3.8,.793,1.7,2.5,4.2,4.6,2.0,0.0,2.4,2.5,15.6,,107,113
4266,Earl Watson,watsoea01,2001-02,22,SEA,NBA,PG,64,0,964,5.4,11.9,.453,0.9,2.5,.364,4.5,9.4,.476,1.3,2.0,.639,1.7,2.9,4.6,7.0,3.4,0.3,2.9,5.2,12.9,,104,106
4267,Jamie Watson,watsoja01,1994-95,22,UTA,NBA,SF,60,1,673,5.9,11.7,.500,0.4,1.5,.263,5.5,10.2,.534,2.9,4.3,.679,1.2,4.5,5.7,4.5,2.7,0.8,3.9,6.6,15.0,,97,106
4271,Maalik Wayns,waynsma01,2012-13,21,TOT,NBA,PG,27,1,202,6.8,23.0,.295,1.8,8.1,.226,5.0,14.9,.333,4.4,5.0,.895,0.3,1.6,1.8,7.0,1.6,0.0,3.9,6.8,19.8,,83,110
4272,David Wear,wearda01,2014-15,24,SAC,NBA,PF,2,0,7,0.0,14.4,.000,0.0,7.2,.000,0.0,7.2,.000,0.0,0.0,,14.4,0.0,14.4,7.2,0.0,0.0,0.0,7.2,0.0,,78,117
4273,Travis Wear,weartr01,2014-15,24,NYK,NBA,SF,51,1,672,6.6,16.4,.402,0.9,2.4,.367,5.7,14.0,.408,1.6,2.0,.769,2.4,5.9,8.3,3.1,1.2,0.9,2.7,4.3,15.6,,90,112
4274,Clarence Weatherspoon,weathcl01,1992-93,22,PHI,NBA,SF,82,82,2654,9.1,19.3,.469,0.0,0.1,.250,9.1,19.3,.470,5.3,7.5,.713,3.3,7.5,10.8,2.7,1.6,1.2,3.2,3.5,23.5,,102,110
4275,Nick Weatherspoon,weathni01,1973-74,23,CAP,NBA,SF,65,,1216,7.4,17.9,.412,,,,7.4,17.9,.412,3.6,5.2,.691,4.9,9.8,14.7,1.4,1.8,0.6,,6.6,18.3,,,92
4276,Kyle Weaver,weaveky01,2008-09,22,OKC,NBA,SG,56,19,1166,5.0,10.8,.459,1.4,4.1,.344,3.6,6.7,.529,1.8,2.6,.707,1.4,4.4,5.7,4.4,2.1,1.1,3.0,3.6,13.1,,101,110
4277,James Webb,webbja01,2017-18,24,BRK,NBA,SF,9,0,108,2.3,9.5,.238,1.8,7.7,.235,0.5,1.8,.250,0.0,0.0,,3.2,6.8,9.9,1.8,0.5,0.0,1.4,4.5,6.3,,83,114
4279,Marcus Webb,webbma01,1992-93,22,BOS,NBA,PF,9,0,51,12.9,24.8,.520,0.0,1.0,.000,12.9,23.8,.542,12.9,20.8,.619,5.0,5.0,9.9,2.0,1.0,2.0,5.0,10.9,38.7,,109,109
4280,Spud Webb,webbsp01,1985-86,22,ATL,NBA,PG,79,8,1229,7.8,16.1,.483,0.1,0.4,.182,7.7,15.7,.491,8.4,10.7,.785,1.1,3.7,4.8,13.2,3.2,0.2,6.2,6.4,24.1,,109,105
4281,Chris Webber,webbech01,1993-94,20,GSW,NBA,C,76,76,2438,11.4,20.6,.552,0.0,0.3,.000,11.4,20.3,.559,3.8,7.1,.532,6.1,7.7,13.8,5.4,1.8,3.3,4.1,4.9,26.5,,110,104
4282,Briante Weber,weberbr01,2015-16,23,TOT,NBA,PG,7,4,169,4.3,11.9,.359,0.0,1.5,.000,4.3,10.4,.412,0.9,1.2,.750,2.4,5.2,7.6,6.4,2.7,0.9,2.7,3.7,9.4,,88,107
4285,Jeff Webster,webstje01,1995-96,24,WSB,NBA,SF,11,0,58,7.1,20.3,.348,1.8,5.3,.333,5.3,15.0,.353,0.0,0.0,,1.8,4.4,6.2,2.6,3.5,0.0,2.6,6.2,15.9,,82,106
4286,Martell Webster,webstma02,2005-06,19,POR,NBA,SF,61,18,1070,7.1,17.8,.399,3.3,9.3,.357,3.8,8.5,.446,3.1,3.6,.859,1.5,5.2,6.7,1.7,1.1,0.7,2.2,4.6,20.7,,105,114
4287,Marvin Webster,webstma01,1975-76,23,DNA,ABA,C,38,,398,6.0,13.0,.458,0.0,0.1,.000,6.0,12.9,.462,6.0,8.5,.705,6.8,12.0,18.9,3.3,1.0,5.6,4.1,6.5,17.9,,107,97
4288,Scott Wedman,wedmasc01,1974-75,22,KCO,NBA,SF,80,,2554,6.8,14.5,.465,,,,6.8,14.5,.465,2.5,3.1,.818,3.6,5.2,8.8,2.3,1.5,0.5,,4.9,16.0,,,99
4289,Sonny Weems,weemsso01,2008-09,22,DEN,NBA,SG,12,0,55,7.4,23.1,.320,0.0,2.8,.000,7.4,20.4,.364,2.8,7.4,.375,0.0,3.7,3.7,2.8,0.9,0.0,5.6,7.4,17.6,,62,112
4291,Brant Weidner,weidnbr01,1983-84,23,SAS,NBA,PF,8,0,38,2.4,10.7,.222,0.0,0.0,,2.4,10.7,.222,4.7,4.7,1.000,4.7,8.3,13.0,0.0,0.0,2.4,2.4,5.9,9.5,,88,112
4294,Bonzi Wells,wellsbo01,1998-99,22,POR,NBA,SF,7,0,35,16.9,30.7,.550,1.5,4.6,.333,15.4,26.1,.588,12.3,27.7,.444,6.1,7.7,13.8,4.6,1.5,1.5,9.2,7.7,47.6,,96,97
4295,Bubba Wells,wellsbu01,1997-98,23,DAL,NBA,SG,39,2,395,6.5,15.7,.414,0.1,0.8,.167,6.4,14.9,.427,4.2,5.8,.721,3.0,6.2,9.2,4.6,2.0,0.5,4.2,5.4,17.3,,93,107
4298,Chris Welp,welpch01,1987-88,24,PHI,NBA,C,10,0,132,6.8,11.7,.581,0.0,0.0,,6.8,11.7,.581,4.5,6.8,.667,4.2,4.9,9.1,1.9,1.9,1.9,3.4,9.5,18.2,,112,110
4299,Jiri Welsch,welscji01,2002-03,23,GSW,NBA,SF,37,0,234,4.1,16.3,.253,0.2,0.9,.250,3.9,15.5,.254,4.8,6.3,.759,2.6,3.5,6.1,5.9,1.7,0.4,4.1,7.0,13.3,,81,112
4300,Bill Wennington,wennibi01,1985-86,22,DAL,NBA,C,56,3,562,6.0,12.8,.471,0.0,0.3,.000,6.0,12.5,.483,3.8,5.2,.726,2.7,8.4,11.0,1.8,0.9,1.8,1.8,6.9,15.8,,109,109
4301,Matt Wenstrom,wenstma01,1993-94,23,BOS,NBA,C,11,0,37,8.1,13.6,.600,0.0,0.0,,8.1,13.6,.600,8.1,13.6,.600,8.1,8.1,16.3,0.0,0.0,2.7,5.4,9.5,24.4,,107,109
4302,Robert Werdann,werdaro01,1992-93,22,DEN,NBA,C,28,0,149,5.8,19.0,.305,0.0,0.3,.000,5.8,18.7,.310,5.5,10.0,.548,7.4,9.4,16.8,2.3,1.9,1.3,3.9,12.3,17.1,,85,103
4304,David Wesley,wesleda01,1993-94,23,NJN,NBA,PG,60,0,542,5.9,16.1,.368,1.0,4.4,.234,4.9,11.8,.417,4.1,4.9,.830,0.9,3.2,4.1,11.4,3.5,0.4,4.8,4.4,17.0,,97,105
4306,David West,westda01,2003-04,23,NOH,NBA,PF,71,1,930,6.3,13.2,.474,0.0,0.1,.000,6.3,13.1,.478,3.3,4.6,.713,6.8,10.4,17.2,3.5,1.6,1.6,2.8,6.8,15.8,,110,100
4307,Delonte West,westde01,2004-05,21,BOS,NBA,SG,39,7,507,6.7,15.7,.426,2.4,6.8,.358,4.3,8.9,.477,1.9,2.7,.704,1.4,5.2,6.6,5.4,2.1,0.8,2.4,7.0,17.8,,107,107
4308,Doug West,westdo01,1989-90,22,MIN,NBA,SG,52,0,378,7.4,18.8,.393,0.4,1.5,.273,7.0,17.3,.403,3.6,4.5,.813,3.3,6.4,9.8,2.5,1.4,0.8,4.3,8.5,18.8,,89,109
4310,Mario West,westma02,2007-08,23,ATL,NBA,SG,64,2,269,4.1,9.6,.429,0.0,0.8,.000,4.1,8.8,.467,3.3,5.1,.654,5.1,4.3,9.4,2.5,2.4,0.8,1.8,12.0,11.6,,110,109
