,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
98,Willie Anderson,anderwi01,Career,,,NBA,,555,432,15974,8.7,18.5,.471,0.3,1.2,.266,8.4,17.3,.485,3.3,4.2,.786,1.7,4.8,6.5,6.5,1.8,1.1,3.6,4.7,21.0,,104,107
100,Martynas Andriuskevicius,andrima01,Career,,,NBA,,6,0,9,0.0,5.9,.000,0.0,0.0,,0.0,5.9,.000,0.0,0.0,,5.9,17.8,23.8,0.0,11.9,0.0,0.0,5.9,0.0,,64,78
102,Ike Anigbogu,anigbik01,Career,,,NBA,,10,0,28,7.2,16.1,.444,0.0,0.0,,7.2,16.1,.444,8.9,10.7,.833,8.9,7.2,16.1,0.0,1.8,5.4,3.6,1.8,23.2,,114,103
103,Michael Ansley,anslemi01,Career,,,NBA,,149,6,2143,8.4,16.4,.513,0.0,0.0,,8.4,16.4,.513,5.7,7.9,.722,6.8,6.8,13.6,1.5,1.1,0.5,1.9,6.2,22.5,,122,113
104,Chris Anstey,anstech01,Career,,,NBA,,155,23,2157,7.5,18.2,.413,0.1,0.7,.138,7.4,17.5,.424,5.0,6.7,.755,4.4,8.9,13.3,3.2,1.9,1.6,3.7,9.3,20.2,,96,103
105,Giannis Antetokounmpo,antetgi01,Career,,,NBA,,390,325,12768,9.7,19.2,.508,0.7,2.3,.288,9.1,16.9,.538,6.5,8.8,.745,2.3,9.3,11.6,5.9,1.8,2.0,3.8,4.6,26.7,,111,105
106,Thanasis Antetokounmpo,antetth01,Career,,,NBA,,2,0,6,25.7,34.3,.750,0.0,8.6,.000,25.7,25.7,1.000,0.0,0.0,,0.0,8.6,8.6,0.0,0.0,0.0,0.0,17.1,51.4,,140,110
107,Carmelo Anthony,anthoca01,Career,,,NBA,,1050,1050,37711,12.2,27.3,.449,1.8,5.2,.348,10.4,22.1,.473,7.9,9.8,.812,2.4,6.8,9.3,4.3,1.5,0.7,3.8,4.1,34.2,,108,108
108,Greg Anthony,anthogr01,Career,,,NBA,,757,227,15850,6.4,15.8,.403,2.0,5.8,.349,4.3,10.0,.434,3.5,4.8,.733,0.9,3.8,4.7,10.0,2.9,0.3,3.5,4.4,18.3,,106,104
109,Joel Anthony,anthojo01,Career,,,NBA,,490,110,7056,3.0,5.8,.513,0.0,0.0,,3.0,5.8,.513,2.0,3.0,.662,4.2,5.9,10.1,0.7,1.0,4.0,1.7,6.1,8.0,,112,103
110,Pero Antic,anticpe01,Career,,,NBA,,113,29,1962,6.0,15.3,.392,2.8,8.9,.314,3.2,6.4,.500,3.6,4.9,.730,3.0,7.3,10.3,2.8,1.0,0.7,2.7,6.7,18.4,,103,107
111,OG Anunoby,anunoog01,Career,,,NBA,,68,56,1357,5.3,11.5,.462,2.3,6.5,.360,3.0,5.0,.594,1.3,2.1,.632,1.4,4.4,5.8,2.0,1.8,0.4,1.5,4.3,14.2,,111,109
112,Keith Appling,applike01,Career,,,NBA,,5,0,27,3.7,14.8,.250,0.0,5.6,.000,3.7,9.3,.400,3.7,3.7,1.000,0.0,1.9,1.9,1.9,1.9,0.0,5.6,9.3,11.1,,57,110
113,Rafael Araujo,araujra01,Career,,,NBA,,139,75,1585,5.1,12.7,.405,0.0,0.1,.250,5.1,12.6,.407,2.5,3.7,.679,4.1,8.9,13.0,1.4,1.7,0.5,3.7,9.9,12.8,,87,108
115,Robert Archibald,archiro01,Career,,,NBA,,44,3,328,2.5,8.8,.283,0.0,0.0,,2.5,8.8,.283,3.5,8.1,.429,4.5,7.0,11.4,2.7,2.3,1.0,2.8,9.8,8.5,,78,101
116,Tiny Archibald,architi01,Career,,,NBA,,638,268,21339,7.9,17.2,.467,0.1,0.4,.224,7.9,17.0,.469,6.5,8.1,.810,0.7,2.2,3.0,9.6,1.6,0.2,2.4,3.0,22.4,,109,105
117,Ryan Arcidiacono,arcidry01,Career,,,NBA,,19,0,185,2.6,6.1,.435,1.6,5.0,.316,1.1,1.1,1.000,1.1,1.1,1.000,0.0,2.6,2.6,5.3,2.4,0.0,1.3,2.6,7.9,,120,112
118,Jim Ard,ardji01,Career,,,TOT,,245,,3168,5.3,14.3,.402,0.4,1.6,.235,5.2,14.3,.404,3.0,4.3,.662,4.1,9.9,14.1,2.7,0.8,1.7,0.8,6.1,13.6,,93,97
119,Gilbert Arenas,arenagi01,Career,,,NBA,,552,455,19351,9.9,23.6,.421,2.9,8.2,.351,7.0,15.4,.458,7.7,9.6,.803,1.2,4.6,5.8,7.8,2.4,0.4,4.7,4.5,30.4,,109,109
120,Trevor Ariza,arizatr01,Career,,,NBA,,939,638,27718,6.5,15.4,.425,2.4,6.8,.354,4.1,8.6,.481,2.7,3.8,.723,1.8,6.5,8.3,3.6,2.6,0.5,2.3,3.5,18.2,,106,105
122,Joe Arlauckas,arlaujo01,Career,,,NBA,,9,0,85,7.8,24.1,.326,0.0,0.0,,7.8,24.1,.326,3.4,4.5,.750,3.4,3.9,7.3,4.5,1.7,2.2,2.2,9.0,19.0,,88,112
123,B.J. Armstrong,armstbj01,Career,,,NBA,,747,341,17790,8.3,17.4,.477,1.3,3.0,.425,7.0,14.4,.487,3.4,4.0,.856,0.6,3.3,3.8,7.2,1.5,0.1,2.6,3.3,21.3,,115,110
125,Brandon Armstrong,armstbr01,Career,,,NBA,,108,0,699,7.7,21.8,.352,1.9,5.7,.333,5.8,16.1,.358,0.9,1.5,.600,1.7,3.1,4.8,1.8,1.7,0.3,2.8,6.3,18.2,,80,102
127,Darrell Armstrong,armstda01,Career,,,NBA,,840,337,19915,7.0,17.1,.409,2.4,7.2,.334,4.6,9.8,.465,3.8,4.4,.871,1.7,4.2,6.0,8.9,3.0,0.3,4.1,3.7,20.2,,107,104
128,Hilton Armstrong,armsthi01,Career,,,NBA,,292,40,3378,5.5,10.9,.501,0.0,0.1,.286,5.4,10.8,.503,2.9,5.0,.582,4.6,7.5,12.1,1.6,1.4,2.2,3.6,8.6,13.9,,98,106
132,Bob Arnzen,arnzebo01,Career,,,TOT,,20,,149,7.5,15.0,.465,0.3,1.6,.200,7.2,14.7,.468,2.2,2.8,.800,3.1,3.1,6.3,0.9,0.9,0.6,2.5,3.4,17.5,,105,105
133,Carlos Arroyo,arroyca01,Career,,,NBA,,569,191,10651,7.2,16.5,.438,0.7,2.0,.338,6.5,14.5,.452,3.9,4.8,.806,1.1,3.8,4.9,8.9,1.5,0.1,3.4,4.4,19.1,,106,108
134,Darrell Arthur,arthuda01,Career,,,NBA,,503,106,8945,7.9,17.8,.444,0.9,2.6,.352,7.0,15.2,.460,2.1,2.7,.765,3.1,7.0,10.1,2.3,1.8,1.8,2.4,7.1,18.8,,101,106
136,Jamel Artis,artisja01,Career,,,NBA,,9,0,114,3.4,11.6,.296,0.9,4.3,.200,2.6,7.3,.353,1.3,2.1,.600,0.9,6.0,6.9,4.7,0.0,0.4,0.4,2.1,9.0,,92,115
137,Omer Asik,asikom01,Career,,,NBA,,467,262,9155,5.3,10.0,.528,0.0,0.0,.000,5.3,10.0,.529,3.3,5.9,.551,5.8,12.9,18.7,1.6,0.9,1.9,3.0,5.1,13.8,,107,103
138,Vincent Askew,askewvi01,Career,,,NBA,,467,27,9361,6.5,13.6,.479,0.4,1.4,.300,6.1,12.2,.499,4.3,5.7,.754,2.1,4.2,6.3,5.4,1.6,0.6,2.7,5.2,17.7,,113,108
139,Keith Askins,askinke01,Career,,,NBA,,486,80,7983,4.4,11.1,.401,1.8,5.1,.355,2.6,6.0,.440,1.5,2.0,.717,3.4,5.9,9.4,2.5,1.8,1.1,2.1,7.2,12.2,,106,105
142,Chucky Atkins,atkinch01,Career,,,NBA,,696,325,17304,7.5,18.2,.412,2.8,7.8,.364,4.7,10.5,.447,2.9,3.8,.772,0.6,3.0,3.6,7.2,1.4,0.1,3.1,3.9,20.7,,106,109
