,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
2163,Bill Keller,kellebi01,Career,,,ABA,,556,,24.5,4.4,10.3,.425,0.9,2.7,.338,3.5,7.6,.456,.469,2.2,2.5,.872,0.9,1.5,2.4,3.6,0.7,0.0,1.7,1.6,11.8
2166,Rich Kelley,kelleri01,Career,,,NBA,,814,126,21.8,2.7,5.4,.488,0.0,0.0,.000,2.7,5.4,.489,.488,2.3,2.9,.783,2.3,4.7,7.0,2.6,0.9,0.9,2.4,3.2,7.6
2167,Clark Kellogg,kellocl01,Career,,,NBA,,260,241,32.7,7.7,15.5,.497,0.1,0.3,.338,7.6,15.3,.500,.500,3.4,4.5,.757,3.3,6.3,9.5,2.9,1.5,0.4,2.8,3.3,18.9
2170,Ryan Kelly,kellyry01,Career,,,NBA,,163,59,19.2,2.0,5.3,.378,0.6,2.0,.316,1.4,3.3,.416,.438,1.4,1.8,.797,0.5,2.6,3.1,1.3,0.5,0.5,0.7,1.9,6.0
2172,Greg Kelser,kelsegr01,Career,,,NBA,,305,40,19.8,3.6,7.4,.486,0.0,0.1,.167,3.6,7.3,.491,.488,2.5,3.6,.686,2.0,2.6,4.6,1.3,0.8,0.5,2.2,3.0,9.7
2174,Shawn Kemp,kempsh01,Career,,,NBA,,1051,728,27.9,5.2,10.7,.488,0.0,0.1,.277,5.2,10.6,.490,.490,4.1,5.5,.741,2.9,5.5,8.4,1.6,1.1,1.2,2.6,3.6,14.6
2175,Tim Kempton,kemptti01,Career,,,NBA,,280,20,13.4,1.6,3.4,.481,0.0,0.0,.000,1.6,3.4,.482,.481,1.2,1.8,.677,0.9,2.0,2.8,1.1,0.4,0.2,1.0,2.2,4.5
2177,Luke Kennard,kennalu01,Career,,,NBA,,68,5,19.3,2.6,6.1,.434,1.0,2.6,.400,1.6,3.5,.460,.519,0.8,0.9,.873,0.3,1.9,2.2,1.6,0.6,0.2,0.9,1.1,7.1
2178,D.J. Kennedy,kennedj01,Career,,,NBA,,2,0,29.5,2.5,6.0,.417,1.0,2.0,.500,1.5,4.0,.375,.500,0.0,1.0,.000,0.5,3.0,3.5,1.5,1.0,0.0,1.5,3.5,6.0
2179,Goo Kennedy,kennego01,Career,,,TOT,,333,,20.4,3.4,6.3,.548,0.0,0.0,1.000,3.4,6.3,.548,.548,1.4,2.0,.670,2.0,3.6,5.6,0.9,0.7,0.2,1.2,3.2,8.2
2182,Larry Kenon,kenonla01,Career,,,TOT,,752,37,32.6,7.3,14.9,.487,0.0,0.0,.143,7.3,14.9,.488,.487,2.7,3.4,.784,3.1,5.8,8.9,2.2,1.3,0.3,2.7,2.3,17.2
2184,Jonathan Kerner,kernejo01,Career,,,NBA,,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2186,Steve Kerr,kerrst01,Career,,,NBA,,910,30,17.8,2.2,4.7,.479,0.8,1.8,.454,1.4,2.9,.494,.564,0.7,0.8,.864,0.2,1.0,1.2,1.8,0.5,0.1,0.6,0.9,6.0
2188,Jerome Kersey,kerseje01,Career,,,NBA,,1153,571,24.4,4.1,8.8,.465,0.1,0.2,.201,4.0,8.6,.472,.467,2.0,2.9,.690,2.0,3.5,5.5,1.9,1.2,0.7,1.4,3.0,10.3
2190,Alec Kessler,kesslal01,Career,,,NBA,,210,24,14.0,2.0,4.8,.426,0.0,0.1,.417,2.0,4.6,.426,.431,1.1,1.4,.744,1.2,2.3,3.6,0.4,0.2,0.3,0.9,2.1,5.2
2191,Lari Ketner,ketnela01,Career,,,NBA,,25,0,5.6,0.5,1.3,.406,0.0,0.0,,0.5,1.3,.406,.406,0.3,0.5,.667,0.5,0.9,1.4,0.1,0.2,0.1,0.5,0.8,1.4
2192,Julius Keye,keyeju01,Career,,,ABA,,418,,32.7,3.0,7.2,.418,0.0,0.1,.182,3.0,7.2,.419,.418,1.5,2.4,.623,3.3,7.7,11.0,1.6,0.5,2.2,1.6,3.4,7.6
2193,Randolph Keys,keysra01,Career,,,NBA,,241,19,13.8,2.2,5.1,.425,0.2,0.6,.272,2.0,4.5,.445,.441,0.7,1.0,.721,0.9,1.4,2.3,0.8,0.6,0.2,0.7,2.2,5.2
2194,Viktor Khryapa,khryavi01,Career,,,NBA,,143,58,16.4,1.8,4.0,.443,0.1,0.3,.292,1.7,3.6,.457,.455,0.9,1.3,.658,1.2,2.3,3.4,1.0,0.6,0.3,1.0,2.5,4.5
2195,Jason Kidd,kiddja01,Career,,,NBA,,1391,1350,36.0,4.5,11.2,.400,1.4,4.1,.349,3.0,7.1,.429,.464,2.2,2.8,.785,1.3,5.0,6.3,8.7,1.9,0.3,2.9,1.8,12.6
2196,Warren Kidd,kiddwa01,Career,,,NBA,,68,14,13.0,1.5,2.5,.592,0.0,0.0,,1.5,2.5,.592,.592,0.7,1.3,.547,1.1,2.3,3.4,0.3,0.3,0.3,0.6,1.9,3.6
2197,Michael Kidd-Gilchrist,kiddgmi01,Career,,,NBA,,353,349,26.7,3.6,7.6,.477,0.0,0.1,.194,3.6,7.5,.481,.478,1.9,2.7,.707,1.7,4.2,5.9,1.2,0.7,0.7,1.0,2.1,9.2
2198,Irv Kiffin,kiffiir01,Career,,,NBA,,26,,8.2,1.2,3.7,.333,0.0,0.0,,1.2,3.7,.333,.333,0.7,1.0,.720,0.5,1.1,1.5,0.7,0.4,0.1,1.2,1.7,3.2
2201,Carl Kilpatrick,kilpaca01,Career,,,NBA,,2,,3.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.5,1.5,2.0,0.0,0.0,0.0,0.0,0.5,1.5
2202,Sean Kilpatrick,kilpase01,Career,,,NBA,,152,24,19.4,3.4,8.2,.409,1.2,3.6,.327,2.2,4.6,.474,.481,2.1,2.4,.866,0.3,2.5,2.7,1.5,0.5,0.1,1.3,1.2,10.0
2204,Bo Kimble,kimblbo01,Career,,,NBA,,105,22,12.7,2.1,5.4,.386,0.2,0.8,.291,1.8,4.5,.403,.408,1.1,1.5,.728,0.6,1.0,1.5,0.9,0.4,0.1,0.9,2.0,5.5
2205,Stan Kimbrough,kimbrst01,Career,,,NBA,,13,0,5.0,0.7,1.7,.409,0.1,0.2,.500,0.6,1.5,.400,.432,0.2,0.2,1.000,0.3,0.2,0.5,0.5,0.4,0.0,0.3,0.4,1.6
2206,Chad Kinch,kinchch01,Career,,,NBA,,41,,8.6,1.3,3.4,.369,0.0,0.0,,1.3,3.4,.369,.369,0.3,0.4,.778,0.2,0.6,0.8,1.1,0.3,0.1,0.7,0.8,2.9
2207,Albert King,kingal01,Career,,,NBA,,534,326,24.0,5.1,11.0,.461,0.1,0.4,.268,5.0,10.6,.468,.466,1.9,2.4,.791,1.4,2.8,4.2,2.2,0.8,0.4,2.2,3.0,12.1
2208,Bernard King,kingbe01,Career,,,NBA,,874,547,33.7,9.0,17.3,.518,0.0,0.2,.172,8.9,17.1,.521,.519,4.5,6.2,.730,1.9,3.8,5.8,3.3,1.0,0.3,3.2,3.3,22.5
2209,Chris King,kingch01,Career,,,NBA,,103,66,20.0,2.6,6.2,.423,0.4,1.2,.383,2.2,5.0,.433,.459,1.0,1.6,.633,1.0,2.0,3.0,1.1,0.7,0.3,1.2,1.8,6.7
2211,Frankie King,kingfr01,Career,,,NBA,,13,0,6.1,0.8,2.2,.357,0.1,0.2,.333,0.7,1.9,.360,.375,0.5,0.6,.750,0.4,0.8,1.2,0.5,0.5,0.0,0.4,0.8,2.1
2213,Gerard King,kingge02,Career,,,NBA,,126,31,14.5,1.9,3.7,.503,0.0,0.0,,1.9,3.7,.503,.503,0.8,1.0,.744,1.0,2.1,3.1,0.7,0.4,0.2,0.7,1.9,4.5
2215,Jimmy King,kingji02,Career,,,NBA,,64,1,13.9,1.8,4.1,.429,0.1,0.5,.147,1.7,3.5,.471,.439,0.9,1.3,.691,0.7,1.0,1.8,1.4,0.4,0.2,1.0,1.2,4.5
2216,Loyd King,kinglo01,Career,,,ABA,,84,,14.9,2.3,6.2,.365,0.3,1.1,.233,2.0,5.2,.393,.385,1.2,1.5,.811,0.5,1.0,1.5,1.4,,,1.0,2.2,6.0
2218,Reggie King,kingre01,Career,,,NBA,,438,128,25.9,3.5,6.7,.514,0.0,0.0,.000,3.5,6.7,.515,.514,2.0,2.9,.699,1.9,4.2,6.2,1.6,0.8,0.3,1.5,2.3,8.9
2219,Rich King,kingri01,Career,,,NBA,,72,2,4.3,0.6,1.6,.393,0.0,0.0,.000,0.6,1.5,.400,.393,0.7,1.0,.662,0.4,0.6,1.0,0.3,0.1,0.1,0.4,0.9,1.9
2220,Ron King,kingro01,Career,,,ABA,,9,,14.0,2.7,7.8,.343,0.2,0.7,.333,2.4,7.1,.344,.357,1.6,1.9,.824,0.9,1.2,2.1,1.6,0.6,0.2,0.8,1.6,7.1
2221,Stacey King,kingst01,Career,,,NBA,,438,63,16.9,2.4,5.1,.478,0.0,0.0,.235,2.4,5.1,.480,.479,1.5,2.2,.707,1.4,2.0,3.3,0.9,0.4,0.5,1.2,2.1,6.4
2224,Tarence Kinsey,kinseta01,Career,,,NBA,,109,15,12.3,1.7,3.8,.453,0.2,0.7,.324,1.5,3.1,.479,.481,1.1,1.3,.817,0.4,1.0,1.3,0.5,0.6,0.0,0.7,0.9,4.7
2225,Andrei Kirilenko,kirilan01,Career,,,NBA,,797,546,30.0,3.9,8.3,.474,0.5,1.5,.310,3.5,6.8,.510,.502,3.5,4.6,.754,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2.0,11.8
2226,Alex Kirk,kirkal01,Career,,,NBA,,5,0,2.8,0.2,0.8,.250,0.0,0.0,,0.2,0.8,.250,.250,0.4,0.4,1.000,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.8
2231,Curtis Kitchen,kitchcu01,Career,,,NBA,,6,0,5.2,0.5,1.0,.500,0.0,0.2,.000,0.5,0.8,.600,.500,0.5,0.7,.750,0.7,0.8,1.5,0.2,0.3,0.5,0.0,0.7,1.5
2232,Greg Kite,kitegr01,Career,,,NBA,,680,225,14.8,1.1,2.4,.438,0.0,0.0,.167,1.1,2.4,.439,.438,0.4,0.9,.486,1.3,2.5,3.8,0.5,0.3,0.6,0.8,2.3,2.5
2233,Kerry Kittles,kittlke01,Career,,,NBA,,507,455,33.4,5.5,12.5,.439,1.4,3.6,.378,4.1,8.9,.463,.493,1.8,2.3,.780,1.0,2.9,3.9,2.6,1.6,0.4,1.2,1.8,14.1
2234,Maxi Kleber,klebima01,Career,,,NBA,,67,36,16.6,2.0,4.2,.468,0.5,1.7,.283,1.5,2.5,.593,.525,0.6,0.9,.754,1.0,2.1,3.0,0.7,0.4,0.6,0.4,1.6,5.0
2235,Joe Kleine,kleinjo01,Career,,,NBA,,965,204,15.2,2.0,4.4,.453,0.0,0.0,.271,2.0,4.3,.455,.454,0.9,1.1,.794,1.3,2.8,4.1,0.6,0.3,0.3,0.8,2.1,4.8
2236,Linas Kleiza,kleizli01,Career,,,NBA,,409,65,20.0,3.1,7.1,.435,0.9,2.8,.335,2.2,4.3,.501,.502,1.6,2.0,.763,0.9,2.6,3.6,0.8,0.4,0.2,1.0,2.2,8.7
2241,Billy Knight,knighbi01,Career,,,TOT,,821,113,28.9,6.6,13.0,.507,0.1,0.3,.284,6.5,12.8,.511,.509,3.7,4.4,.827,2.1,3.2,5.3,2.3,1.0,0.2,2.4,2.0,16.9
2243,Brandin Knight,knighbr02,Career,,,NBA,,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2244,Brandon Knight,knighbr03,Career,,,NBA,,382,320,31.3,5.5,13.2,.415,1.6,4.6,.357,3.8,8.6,.445,.476,2.6,3.3,.812,0.6,2.8,3.3,4.3,0.9,0.2,2.7,2.0,15.2
2245,Brevin Knight,knighbr01,Career,,,NBA,,729,423,24.9,2.8,6.7,.412,0.0,0.2,.134,2.7,6.6,.419,.414,1.8,2.2,.789,0.4,2.1,2.4,6.1,1.7,0.1,1.9,2.5,7.3
2246,Negele Knight,knighne01,Career,,,NBA,,276,77,16.4,2.4,5.6,.436,0.1,0.3,.263,2.3,5.2,.447,.444,1.2,1.6,.730,0.4,0.9,1.3,2.8,0.4,0.1,1.3,1.5,6.2
2248,Toby Knight,knighto01,Career,,,NBA,,283,0,25.9,5.7,10.9,.519,0.0,0.0,.000,5.7,10.9,.519,.519,1.5,2.1,.740,2.0,3.1,5.1,1.2,0.9,0.7,1.6,3.2,12.9
2249,Travis Knight,knightr01,Career,,,NBA,,371,58,12.3,1.4,3.2,.438,0.0,0.2,.259,1.4,3.1,.447,.444,0.6,0.8,.696,1.2,1.9,3.1,0.6,0.4,0.6,0.7,2.2,3.4
2253,Bart Kofoed,kofoeba01,Career,,,NBA,,111,0,6.3,0.5,1.4,.387,0.0,0.1,.188,0.5,1.2,.410,.397,0.4,0.6,.614,0.1,0.4,0.5,1.0,0.2,0.0,0.5,0.9,1.5
2257,Jon Koncak,koncajo01,Career,,,NBA,,784,379,20.9,1.8,3.9,.470,0.0,0.1,.226,1.8,3.8,.477,.473,0.8,1.3,.597,1.4,3.6,4.9,1.0,0.7,1.0,0.8,3.2,4.5
2260,Joe Kopicki,kopicjo01,Career,,,NBA,,118,3,10.1,1.2,2.4,.493,0.0,0.1,.273,1.1,2.3,.502,.498,1.3,1.6,.812,0.9,1.7,2.7,0.7,0.3,0.1,0.6,1.3,3.7
2261,Furkan Korkmaz,korkmfu01,Career,,,NBA,,11,0,5.8,0.5,2.0,.273,0.4,1.3,.286,0.2,0.7,.250,.364,0.2,0.4,.500,0.2,0.6,0.8,0.3,0.1,0.1,0.2,0.6,1.6
2262,Frank Kornet,kornefr01,Career,,,NBA,,89,0,6.7,0.7,2.0,.369,0.1,0.4,.263,0.6,1.6,.399,.398,0.3,0.6,.596,0.4,0.7,1.1,0.3,0.2,0.0,0.4,0.9,1.9
2263,Luke Kornet,kornelu01,Career,,,NBA,,15,1,14.7,1.9,5.7,.337,1.1,3.9,.288,0.8,1.8,.444,.436,0.2,0.3,.750,0.7,2.4,3.1,1.1,0.3,0.7,0.3,0.9,5.2
2264,Yaroslav Korolev,korolya01,Career,,,NBA,,34,0,4.9,0.4,1.4,.283,0.1,0.4,.250,0.3,1.0,.294,.315,0.3,0.5,.625,0.2,0.3,0.5,0.4,0.2,0.0,0.2,0.3,1.1
2265,Kyle Korver,korveky01,Career,,,NBA,,1100,421,26.2,3.4,7.7,.444,2.0,4.7,.432,1.4,3.1,.463,.574,1.1,1.2,.880,0.3,2.8,3.0,1.8,0.7,0.3,1.1,2.1,9.9
2270,Kosta Koufos,koufoko01,Career,,,NBA,,644,228,16.7,2.6,4.9,.537,0.0,0.0,.000,2.6,4.8,.538,.537,0.6,1.1,.587,1.8,3.3,5.1,0.5,0.4,0.8,0.7,2.1,5.8
2273,Arvid Kramer,kramear01,Career,,,NBA,,8,,5.6,0.9,2.8,.318,0.0,0.0,,0.9,2.8,.318,.318,0.3,0.3,1.000,0.8,0.8,1.5,0.4,0.0,0.6,0.6,1.0,2.0
2275,Joel Kramer,kramejo01,Career,,,NBA,,328,4,12.8,1.5,3.1,.479,0.0,0.0,.000,1.5,3.1,.481,.479,0.9,1.2,.737,1.0,1.8,2.8,1.0,0.4,0.2,0.8,1.8,3.8
2279,Viacheslav Kravtsov,kravtvi01,Career,,,NBA,,45,0,6.3,0.9,1.4,.672,0.0,0.0,,0.9,1.4,.672,.672,0.3,1.0,.333,0.7,0.6,1.4,0.2,0.1,0.2,0.4,0.9,2.2
2281,Wayne Kreklow,kreklwa01,Career,,,NBA,,25,0,4.0,0.4,1.9,.234,0.0,0.2,.250,0.4,1.7,.233,.245,0.3,0.4,.700,0.1,0.4,0.5,0.4,0.1,0.0,0.4,0.8,1.2
2284,Nenad Krstic,krstine01,Career,,,NBA,,419,373,25.2,4.1,8.3,.494,0.0,0.0,.143,4.1,8.3,.495,.494,1.8,2.5,.730,1.8,3.6,5.4,0.8,0.4,0.7,1.2,3.0,10.0
2285,Larry Krystkowiak,krystla01,Career,,,NBA,,420,134,21.7,3.1,6.7,.457,0.0,0.1,.139,3.1,6.7,.461,.458,2.0,2.5,.795,1.5,3.4,4.9,1.2,0.6,0.1,1.2,2.5,8.2
2288,Bruce Kuczenski,kuczebr01,Career,,,NBA,,15,2,7.9,0.7,2.5,.270,0.0,0.0,,0.7,2.5,.270,.270,0.5,0.8,.667,0.5,1.1,1.5,0.5,0.1,0.1,1.0,1.2,1.9
2290,John Kuester,kuestjo01,Career,,,NBA,,135,,11.3,1.3,3.0,.427,0.0,0.0,.000,1.3,3.0,.428,.427,0.8,0.9,.833,0.2,0.8,1.0,2.3,0.6,0.0,0.9,1.3,3.3
2292,Toni Kukoc,kukocto01,Career,,,NBA,,846,259,26.3,4.3,9.6,.447,0.9,2.6,.335,3.4,7.0,.488,.492,2.1,2.9,.729,1.2,3.0,4.2,3.7,1.0,0.3,1.8,1.7,11.6
2293,Kevin Kunnert,kunneke01,Career,,,NBA,,555,0,21.8,3.6,7.7,.476,0.0,0.0,,3.6,7.7,.476,.476,1.0,1.5,.682,2.5,4.8,7.3,1.4,0.5,1.1,1.5,3.5,8.3
2295,Mitch Kupchak,kupchmi01,Career,,,NBA,,510,32,19.4,3.9,7.5,.523,0.0,0.0,.000,3.9,7.5,.523,.523,2.3,3.3,.704,1.9,3.5,5.4,0.7,0.3,0.3,1.6,2.2,10.2
2297,Rob Kurz,kurzro01,Career,,,NBA,,40,5,11.1,1.3,3.3,.389,0.4,1.0,.395,0.9,2.3,.387,.447,1.0,1.3,.800,0.8,1.2,2.0,0.5,0.4,0.5,0.4,2.0,3.9
2298,Ibo Kutluay,kutluib01,Career,,,NBA,,5,0,2.4,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.0
2299,Kyle Kuzma,kuzmaky01,Career,,,NBA,,74,34,31.1,6.0,13.4,.451,2.1,5.7,.365,4.0,7.7,.513,.528,1.9,2.6,.714,1.2,5.2,6.3,1.9,0.6,0.4,1.7,2.1,16.0
2300,Ognjen Kuzmic,kuzmiog01,Career,,,NBA,,37,0,4.4,0.4,0.7,.520,0.0,0.0,,0.4,0.7,.520,.520,0.2,0.4,.600,0.5,0.6,1.0,0.2,0.1,0.1,0.4,0.8,0.9
2301,Mindaugas Kuzminskas,kuzmimi01,Career,,,NBA,,69,5,14.8,2.3,5.4,.426,0.8,2.4,.321,1.5,2.9,.512,.499,0.8,1.0,.809,0.7,1.1,1.8,1.0,0.4,0.2,0.7,1.1,6.2
2302,Skal Labissiere,labissk01,Career,,,NBA,,93,40,19.9,3.5,7.3,.476,0.2,0.6,.356,3.2,6.6,.488,.492,1.6,2.1,.766,1.6,3.2,4.8,1.1,0.4,0.7,1.2,2.1,8.7
2305,Sam Lacey,laceysa01,Career,,,NBA,,1002,40,31.8,4.3,9.7,.441,0.0,0.1,.188,4.3,9.7,.442,.441,1.7,2.4,.738,2.2,6.9,9.7,3.7,1.3,1.5,2.2,3.5,10.3
2306,Bob Lackey,lackebo01,Career,,,ABA,,71,,16.9,2.2,5.1,.431,0.0,0.1,.400,2.2,5.0,.431,.434,1.4,2.4,.593,0.9,1.4,2.3,1.9,0.3,0.0,1.7,2.4,5.8
2308,Wendell Ladner,ladnewe01,Career,,,ABA,,300,,26.3,5.0,12.9,.386,0.4,1.5,.252,4.6,11.5,.403,.400,1.2,1.7,.712,2.7,5.6,8.3,2.1,1.6,0.1,2.0,3.9,11.6
2309,Christian Laettner,laettch01,Career,,,NBA,,868,692,29.7,4.6,9.7,.480,0.1,0.4,.261,4.5,9.3,.490,.486,3.4,4.2,.820,1.9,4.8,6.7,2.6,1.1,0.8,2.2,3.2,12.8
2310,Oliver Lafayette,lafayol01,Career,,,NBA,,1,0,22.0,3.0,6.0,.500,1.0,2.0,.500,2.0,4.0,.500,.583,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,7.0
2311,Raef LaFrentz,lafrera01,Career,,,NBA,,563,438,25.8,4.0,8.5,.466,0.8,2.3,.363,3.1,6.2,.505,.516,1.3,1.9,.711,1.8,4.3,6.1,1.1,0.5,1.6,0.9,3.3,10.1
2312,Tom LaGarde,lagarto01,Career,,,NBA,,312,28,19.9,2.8,6.0,.462,0.0,0.0,.000,2.8,6.0,.463,.462,2.0,3.2,.640,1.6,3.5,5.1,1.5,0.3,0.4,1.7,2.8,7.6
2313,Bill Laimbeer,laimbbi01,Career,,,NBA,,1068,861,31.8,5.2,10.5,.498,0.2,0.6,.326,5.0,9.9,.508,.507,2.3,2.7,.837,2.6,7.1,9.7,2.0,0.7,0.9,1.5,3.4,12.9
2315,Bo Lamar,lamarbo01,Career,,,TOT,,273,,29.4,6.8,16.6,.411,0.6,2.2,.267,6.4,15.0,.426,.424,2.4,3.1,.768,1.0,1.7,2.7,3.9,1.3,0.1,2.6,1.6,16.4
2316,Doron Lamb,lambdo01,Career,,,NBA,,100,0,12.7,1.2,3.2,.381,0.5,1.3,.394,0.7,2.0,.372,.458,0.5,0.7,.700,0.2,0.8,1.0,0.8,0.2,0.0,0.5,1.1,3.5
2317,Jeremy Lamb,lambje01,Career,,,NBA,,352,31,18.7,3.4,7.8,.444,0.9,2.7,.335,2.5,5.0,.503,.503,1.3,1.6,.836,0.5,2.8,3.3,1.4,0.6,0.3,0.8,1.6,9.1
2318,John Lambert,lambejo01,Career,,,NBA,,446,7,12.5,1.6,3.8,.428,0.0,0.1,.083,1.6,3.8,.430,.428,0.5,0.8,.693,1.3,2.1,3.3,0.6,0.3,0.4,0.8,1.9,3.8
2319,Jeff Lamp,lampje01,Career,,,NBA,,291,3,11.9,2.1,4.4,.470,0.0,0.2,.222,2.0,4.3,.481,.474,0.9,1.1,.841,0.5,1.1,1.5,0.9,0.4,0.0,0.8,1.4,5.1
2320,Maciej Lampe,lampema01,Career,,,NBA,,64,0,9.9,1.5,3.6,.407,0.0,0.1,.250,1.4,3.5,.413,.411,0.4,0.6,.676,0.6,1.6,2.2,0.3,0.1,0.2,0.5,1.3,3.4
2321,Jim Lampley,lamplji01,Career,,,NBA,,1,0,16.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,1.0,2.0,.500,1.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0
2322,Sean Lampley,lamplse01,Career,,,NBA,,45,0,12.2,1.5,3.3,.463,0.0,0.1,.000,1.5,3.2,.476,.463,1.4,2.1,.691,0.6,1.5,2.1,0.7,0.2,0.1,0.6,1.0,4.5
2323,Carl Landry,landrca01,Career,,,NBA,,513,93,22.5,4.1,7.6,.535,0.0,0.1,.300,4.0,7.5,.537,.536,2.7,3.4,.785,1.9,3.0,4.9,0.7,0.4,0.4,1.2,2.4,10.8
2324,Marcus Landry,landrma01,Career,,,NBA,,18,0,6.2,0.9,2.4,.372,0.5,1.6,.321,0.4,0.8,.467,.477,0.2,0.3,.600,0.3,0.8,1.1,0.0,0.1,0.1,0.3,0.8,2.4
2325,Mark Landsberger,landsma01,Career,,,NBA,,437,5,16.7,2.3,4.9,.481,0.0,0.0,.000,2.3,4.9,.482,.481,1.0,1.8,.522,2.4,3.8,6.1,0.5,0.3,0.2,1.1,1.6,5.6
2326,Jerome Lane,laneje01,Career,,,NBA,,218,79,14.7,2.3,5.2,.441,0.0,0.1,.063,2.3,5.1,.447,.442,0.7,1.9,.379,2.6,3.2,5.8,1.5,0.6,0.2,1.2,2.5,5.3
2327,Andrew Lang,langan01,Career,,,NBA,,737,380,20.8,2.4,5.1,.470,0.0,0.0,.250,2.4,5.1,.471,.471,1.2,1.6,.744,1.6,3.2,4.8,0.6,0.5,1.5,0.9,2.8,6.0
2328,Antonio Lang,langan02,Career,,,NBA,,143,1,9.8,0.8,1.9,.455,0.0,0.1,.000,0.8,1.8,.469,.455,0.6,0.8,.719,0.6,0.9,1.5,0.3,0.4,0.3,0.6,1.4,2.3
2329,James Lang,langja01,Career,,,NBA,,11,0,5.0,0.4,0.8,.444,0.0,0.0,,0.4,0.8,.444,.444,0.3,0.5,.600,0.5,0.5,1.0,0.2,0.0,0.3,0.2,1.3,1.0
2330,Trajan Langdon,langdtr01,Career,,,NBA,,119,5,14.6,1.8,4.4,.416,0.7,1.8,.396,1.1,2.6,.429,.497,1.0,1.1,.910,0.2,1.1,1.3,1.3,0.5,0.1,0.8,1.5,5.4
2331,Keith Langford,langfke01,Career,,,NBA,,2,0,5.0,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0
2332,Dan Langhi,langhda01,Career,,,NBA,,133,8,9.4,1.3,3.3,.391,0.1,0.3,.289,1.2,3.0,.400,.403,0.3,0.5,.613,0.4,1.1,1.5,0.3,0.2,0.1,0.3,0.8,3.0
2333,Bob Lanier,laniebo01,Career,,,NBA,,959,179,33.5,8.1,15.7,.514,0.0,0.0,.154,8.1,15.7,.515,.514,3.9,5.1,.767,2.6,6.8,10.1,3.1,1.1,1.5,2.6,3.2,20.1
2335,Nicolas Laprovittola,laproni01,Career,,,NBA,,18,3,9.7,1.1,2.6,.426,0.6,1.5,.370,0.6,1.1,.500,.532,0.5,0.5,1.000,0.1,0.5,0.6,1.6,0.2,0.1,1.1,1.1,3.3
2337,Shane Larkin,larkish01,Career,,,NBA,,252,40,19.0,2.1,5.0,.425,0.5,1.3,.341,1.7,3.7,.455,.470,0.8,1.0,.782,0.3,1.6,1.9,2.8,0.9,0.1,1.2,1.5,5.5
2338,Rusty LaRue,larueru01,Career,,,NBA,,98,7,16.0,1.9,5.1,.376,0.6,1.7,.318,1.4,3.3,.407,.431,0.6,0.7,.841,0.2,1.1,1.3,1.6,0.6,0.1,1.0,1.5,5.0
2341,Stephane Lasme,lasmest01,Career,,,NBA,,16,4,18.9,2.0,4.4,.451,0.0,0.0,,2.0,4.4,.451,.451,1.2,2.0,.594,1.6,1.7,3.3,0.2,0.8,1.4,0.9,2.2,5.2
2342,Dave Lattin,lattida01,Career,,,TOT,,263,,15.8,2.8,5.9,.477,0.0,0.0,.000,2.8,5.9,.478,.477,1.6,2.5,.631,2.0,4.0,5.1,0.7,,,1.7,2.6,7.2
2343,Priest Lauderdale,laudepr01,Career,,,NBA,,74,0,7.1,1.4,2.9,.472,0.0,0.0,.000,1.4,2.9,.474,.472,0.7,1.2,.554,0.6,1.4,1.9,0.4,0.1,0.4,1.1,1.4,3.4
2347,Joffrey Lauvergne,lauvejo01,Career,,,NBA,,205,18,13.7,2.3,4.8,.480,0.2,0.8,.285,2.1,4.0,.521,.505,0.8,1.0,.721,1.2,2.7,3.8,0.9,0.3,0.2,0.8,1.4,5.6
2349,Zach LaVine,lavinza01,Career,,,NBA,,230,144,28.7,5.1,11.7,.437,1.5,4.0,.373,3.6,7.8,.470,.501,2.2,2.7,.820,0.4,2.7,3.0,3.2,0.8,0.2,2.1,2.2,14.0
