,Name,link,Year,Age,Position,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Team,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ROY,All-Rookie Team,Draft_Pick
1390,Cliff Levingston,levincl01,1982-83,22.0,PF,62,14.2,2.1,4.4,0.485,0.0,0.0,0.0,2.1,4.3,0.48700000000000004,0.485,1.4,2.4,0.5710000000000001,1.7,2.1,3.7,0.8,0.4,0.6,1.2,2.0,5.6,6.8,13.9,0.485,0.0,0.1,0.0,6.8,13.9,0.48700000000000004,4.3,7.6,0.5710000000000001,5.4,6.6,12.0,2.7,1.2,1.9,3.8,6.4,17.9,101.0,105.0,DET,NBA,12.9,0.517,0.004,0.544,12.0,15.5,13.7,7.8,1.2,2.2,17.9,17.9,0.5,0.9,1.3,0.07200000000000001,-1.7,-0.4,-2.1,0.0,0,0,9.0
1391,Cedric Lewis,lewisce01,1995-96,26.0,C,3,1.3,0.7,1.0,0.667,0.0,0.0,,0.7,1.0,0.667,0.667,0.0,0.0,,0.7,0.0,0.7,0.0,0.3,0.0,0.0,0.0,1.3,25.6,38.4,0.667,0.0,0.0,,25.6,38.4,0.667,0.0,0.0,,25.6,0.0,25.6,0.0,12.8,0.0,0.0,0.0,51.2,148.0,90.0,WSB,NBA,62.7,0.667,0.0,0.0,60.0,0.0,29.4,0.0,12.8,0.0,0.0,33.5,0.0,0.0,0.1,0.613,20.3,-3.8,16.5,0.0,0,0,
1392,Martin Lewis,lewisma01,1995-96,20.0,SF,16,11.8,1.8,3.8,0.483,0.1,0.4,0.28600000000000003,1.7,3.3,0.509,0.5,0.9,1.6,0.6,0.9,0.9,1.8,0.2,0.5,0.2,0.9,1.3,4.7,7.9,16.3,0.483,0.5,1.9,0.28600000000000003,7.4,14.4,0.509,4.1,6.8,0.6,4.1,3.8,7.9,0.8,2.2,0.8,3.8,5.7,20.4,98.0,113.0,TOR,NBA,11.2,0.528,0.11699999999999999,0.41700000000000004,9.4,8.9,9.1,2.5,2.2,1.2,16.5,19.8,0.0,0.1,0.0,0.011000000000000001,-3.5,-3.2,-6.7,-0.2,0,0,50.0
1393,Quincy Lewis,lewisqu01,1999-00,22.0,SG,74,12.1,1.5,4.0,0.37200000000000005,0.3,0.9,0.365,1.2,3.2,0.374,0.41100000000000003,0.5,0.7,0.731,0.6,0.9,1.5,0.5,0.3,0.2,0.6,2.1,3.8,6.6,17.8,0.37200000000000005,1.4,3.8,0.365,5.3,14.0,0.374,2.3,3.1,0.731,2.7,4.0,6.8,2.4,1.4,0.9,2.7,9.4,16.9,91.0,105.0,UTA,NBA,6.6,0.441,0.21100000000000002,0.174,6.4,8.9,7.7,7.1,1.4,1.3,12.5,18.9,-0.5,0.9,0.3,0.018000000000000002,-3.1,-0.9,-4.0,-0.5,0,0,19.0
1394,Ralph Lewis,lewisra01,1987-88,24.0,SG,50,6.2,0.5,1.7,0.31,0.0,0.0,0.0,0.5,1.7,0.314,0.31,0.6,1.0,0.604,0.3,0.7,1.0,0.3,0.3,0.1,0.4,0.7,1.7,4.3,13.7,0.31,0.0,0.2,0.0,4.3,13.5,0.314,4.6,7.6,0.604,2.7,5.4,8.0,2.2,2.0,0.6,3.0,5.7,13.1,84.0,105.0,DET,NBA,5.6,0.384,0.011000000000000001,0.552,6.3,12.0,9.2,5.7,2.0,0.8,14.9,17.0,-0.5,0.4,-0.1,-0.008,-5.9,0.4,-5.5,-0.3,0,0,139.0
1395,Rashard Lewis,lewisra02,1998-99,19.0,SF,20,7.3,1.0,2.6,0.365,0.1,0.3,0.16699999999999998,0.9,2.3,0.391,0.375,0.4,0.7,0.5710000000000001,0.7,0.6,1.3,0.2,0.4,0.1,1.0,1.0,2.4,7.0,19.2,0.365,0.4,2.2,0.16699999999999998,6.6,17.0,0.391,3.0,5.2,0.5710000000000001,4.8,4.4,9.2,1.5,3.0,0.4,7.4,7.0,17.4,72.0,105.0,SEA,NBA,4.5,0.40399999999999997,0.115,0.26899999999999996,10.2,9.7,9.9,4.6,3.0,0.5,25.6,24.4,-0.5,0.1,-0.4,-0.136,-7.8,-2.1,-9.9,-0.3,0,0,32.0
1396,Reggie Lewis,lewisre01,1987-88,22.0,SG,49,8.3,1.8,3.9,0.466,0.0,0.1,0.0,1.8,3.9,0.47600000000000003,0.466,0.8,1.2,0.7020000000000001,0.6,0.7,1.3,0.5,0.3,0.3,0.6,1.1,4.5,10.9,23.4,0.466,0.0,0.5,0.0,10.9,22.9,0.47600000000000003,4.8,6.9,0.7020000000000001,3.4,4.2,7.6,3.1,1.9,1.8,3.6,6.5,26.6,100.0,109.0,BOS,NBA,14.3,0.504,0.021,0.295,8.8,9.6,9.2,9.3,1.9,2.1,12.1,26.3,0.1,0.4,0.4,0.052000000000000005,-2.1,-1.9,-4.0,-0.2,0,0,22.0
1397,Marcus Liberty,liberma01,1990-91,22.0,SF,76,15.4,2.8,6.8,0.42100000000000004,0.2,0.8,0.298,2.6,6.0,0.436,0.43799999999999994,0.8,1.2,0.63,1.5,1.4,2.9,0.8,0.6,0.3,0.9,2.0,6.7,7.8,18.5,0.42100000000000004,0.6,2.1,0.298,7.2,16.4,0.436,2.1,3.3,0.63,4.2,3.7,8.0,2.3,1.7,0.7,2.6,5.5,18.3,98.0,116.0,DEN,NBA,10.4,0.45799999999999996,0.111,0.179,8.6,9.3,8.9,6.8,1.7,0.9,11.4,18.8,-0.1,0.1,-0.1,-0.004,-2.4,-2.1,-4.5,-0.7,0,0,42.0
1398,Todd Lichti,lichtto01,1989-90,23.0,SG,79,16.8,3.2,6.5,0.486,0.0,0.2,0.0,3.2,6.3,0.5,0.486,1.6,2.2,0.747,0.6,1.3,1.9,1.5,0.7,0.2,1.2,1.8,8.0,8.6,17.7,0.486,0.0,0.5,0.0,8.6,17.2,0.5,4.5,6.0,0.747,1.7,3.5,5.2,4.0,1.9,0.4,3.3,5.0,21.6,103.0,108.0,DEN,NBA,12.3,0.5329999999999999,0.027000000000000003,0.33899999999999997,3.6,8.6,6.0,11.7,1.9,0.6,13.9,20.2,0.5,1.3,1.8,0.066,-1.9,-0.6,-2.5,-0.2,0,0,15.0
1399,DeAndre Liggins,liggide01,2011-12,23.0,SF,17,6.8,0.7,1.5,0.48,0.0,0.2,0.0,0.7,1.2,0.5710000000000001,0.48,0.5,1.1,0.474,0.4,0.5,0.9,0.3,0.4,0.0,0.6,0.4,1.9,5.6,11.7,0.48,0.0,1.9,0.0,5.6,9.8,0.5710000000000001,4.2,8.9,0.474,2.8,4.2,7.0,2.3,2.8,0.0,4.7,2.8,15.5,87.0,104.0,ORL,NBA,8.9,0.495,0.16,0.76,5.9,9.2,7.5,7.1,2.8,0.0,23.1,17.7,-0.1,0.1,0.0,0.0,-4.5,0.1,-4.4,-0.1,0,0,53.0
1400,Damian Lillard,lillada01,2012-13,22.0,PG,82,38.6,6.7,15.7,0.429,2.3,6.1,0.368,4.5,9.6,0.469,0.501,3.3,3.9,0.8440000000000001,0.5,2.6,3.1,6.5,0.9,0.2,3.0,2.1,19.0,9.2,21.4,0.429,3.1,8.3,0.368,6.1,13.0,0.469,4.5,5.3,0.8440000000000001,0.7,3.6,4.3,8.8,1.2,0.3,4.0,2.9,25.9,108.0,112.0,POR,NBA,16.4,0.546,0.391,0.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,5.1,0.7,5.8,0.08800000000000001,2.7,-2.4,0.3,1.9,1,1,6.0
1401,Jeremy Lin,linje01,2010-11,22.0,PG,29,9.8,1.0,2.5,0.389,0.0,0.2,0.2,0.9,2.3,0.40299999999999997,0.396,0.7,0.9,0.76,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6,5.0,12.8,0.389,0.2,0.9,0.2,4.8,11.9,0.40299999999999997,3.4,4.4,0.76,2.1,3.9,6.0,7.5,5.9,1.6,3.2,5.5,13.5,100.0,103.0,GSW,NBA,14.8,0.45799999999999996,0.069,0.34700000000000003,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,0.0,0.4,0.5,0.078,-2.4,3.0,0.6,0.2,0,0,
1402,Steve Lingenfelter,lingest01,1982-83,24.0,PF,7,7.6,0.6,0.9,0.667,0.0,0.0,,0.6,0.9,0.667,0.667,0.0,0.6,0.0,0.1,1.6,1.7,0.6,0.1,0.4,0.7,2.3,1.1,3.6,5.5,0.667,0.0,0.0,,3.6,5.5,0.667,0.0,3.6,0.0,0.9,10.0,10.9,3.6,0.9,2.7,4.6,14.6,7.3,69.0,96.0,WSB,NBA,3.2,0.515,0.0,0.667,2.1,23.2,12.5,9.9,0.9,3.3,39.2,10.0,-0.1,0.1,0.0,0.009000000000000001,-7.8,3.7,-4.1,0.0,0,0,44.0
1403,Alton Lister,listeal01,1981-82,23.0,C,80,14.8,1.9,3.6,0.519,0.0,0.0,,1.9,3.6,0.519,0.519,0.8,1.5,0.52,1.4,3.5,4.8,1.1,0.2,1.5,1.6,3.0,4.5,6.0,11.6,0.519,0.0,0.0,,6.0,11.6,0.519,2.6,5.0,0.52,4.4,11.3,15.7,3.4,0.7,4.8,5.2,9.7,14.6,91.0,97.0,MIL,NBA,11.5,0.531,0.0,0.429,10.9,26.0,18.7,9.2,0.7,5.8,27.4,16.3,-0.9,2.6,1.7,0.071,-4.4,3.6,-0.8,0.4,0,0,21.0
1404,Randy Livingston,livinra01,1996-97,21.0,PG,64,15.3,1.6,3.6,0.43700000000000006,0.1,0.3,0.409,1.4,3.2,0.44,0.456,0.7,1.0,0.6459999999999999,0.5,1.0,1.5,2.4,0.6,0.2,1.6,1.7,3.9,5.3,12.2,0.43700000000000006,0.5,1.2,0.409,4.9,11.1,0.44,2.2,3.5,0.6459999999999999,1.7,3.3,5.0,8.3,2.1,0.6,5.4,5.7,13.4,91.0,106.0,HOU,NBA,8.3,0.48700000000000004,0.096,0.284,4.0,7.0,5.6,23.8,2.1,0.9,28.4,16.7,-0.8,1.1,0.3,0.012,-4.6,-0.1,-4.7,-0.7,0,0,42.0
1405,Shaun Livingston,livinsh01,2004-05,19.0,PG,30,27.1,3.0,7.2,0.414,0.0,0.1,0.0,3.0,7.1,0.418,0.414,1.5,2.0,0.746,0.7,2.2,3.0,5.0,1.1,0.4,2.5,2.7,7.4,5.9,14.2,0.414,0.0,0.1,0.0,5.9,14.1,0.418,2.9,3.9,0.746,1.5,4.4,5.9,10.0,2.1,0.7,5.0,5.4,14.7,92.0,107.0,LAC,NBA,10.4,0.461,0.009000000000000001,0.27399999999999997,3.3,9.6,6.6,29.9,2.1,1.0,23.7,18.0,-0.6,0.7,0.1,0.008,-2.8,-0.3,-3.1,-0.2,0,0,4.0
1406,Horacio Llamas Grey,llamaho01,1996-97,23.0,C,20,5.1,0.8,1.4,0.536,0.0,0.0,,0.8,1.4,0.536,0.536,0.2,0.4,0.5,0.2,0.7,0.9,0.2,0.5,0.3,0.6,1.3,1.7,7.6,14.3,0.536,0.0,0.0,,7.6,14.3,0.536,2.0,4.1,0.5,2.0,7.1,9.2,2.0,5.1,2.5,5.6,12.7,17.3,84.0,99.0,PHO,NBA,10.5,0.539,0.0,0.28600000000000003,4.7,16.1,10.4,6.2,5.1,3.7,25.9,19.0,-0.2,0.2,0.0,0.019,-5.3,3.9,-1.4,0.0,0,0,
1407,Lewis Lloyd,lloydle01,1981-82,22.0,SG,16,5.9,1.6,2.8,0.556,0.0,0.0,,1.6,2.8,0.556,0.556,0.4,0.7,0.636,0.6,0.4,1.0,0.4,0.3,0.1,0.9,1.3,3.6,12.5,22.4,0.556,0.0,0.0,,12.5,22.4,0.556,3.5,5.5,0.636,4.5,3.5,8.0,3.0,2.5,0.5,7.0,10.0,28.4,98.0,108.0,GSW,NBA,14.8,0.5720000000000001,0.0,0.244,10.2,8.2,9.2,9.6,2.5,0.6,21.9,27.1,0.0,0.1,0.1,0.043,-1.1,-1.6,-2.7,0.0,0,0,76.0
1408,Scott Lloyd,lloydsc01,1976-77,24.0,C,69,14.9,2.2,4.7,0.47200000000000003,,,,2.2,4.7,0.47200000000000003,0.47200000000000003,1.4,1.8,0.754,1.2,1.9,3.0,0.5,0.3,0.2,,2.3,5.8,6.6,14.0,0.47200000000000003,,,,6.6,14.0,0.47200000000000003,4.1,5.4,0.754,3.5,5.6,9.1,1.4,0.9,0.6,,6.8,17.3,,105.0,MIL,NBA,11.2,0.528,,0.389,8.1,13.1,10.6,4.1,0.9,0.6,,,1.0,0.4,1.3,0.062,-2.0,-2.3,-4.2,-0.6,0,0,24.0
1409,Rob Lock,lockro01,1988-89,22.0,PF,20,5.5,0.5,1.6,0.281,0.0,0.0,,0.5,1.6,0.281,0.281,0.6,0.8,0.8,0.7,0.9,1.6,0.2,0.2,0.2,0.7,0.8,1.5,3.8,13.4,0.281,0.0,0.0,,3.8,13.4,0.281,5.0,6.3,0.8,5.8,7.5,13.4,1.7,1.3,1.7,5.4,6.3,12.5,77.0,110.0,LAC,NBA,5.3,0.389,0.0,0.469,13.6,17.4,15.5,4.5,1.3,2.0,25.2,18.5,-0.3,0.1,-0.2,-0.083,-8.0,-1.4,-9.4,-0.2,0,0,51.0
1410,Darrell Lockhart,lockhda01,1983-84,23.0,C,2,7.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,1.0,2.5,2.0,6.4,6.4,1.0,0.0,0.0,,6.4,6.4,1.0,0.0,0.0,,0.0,9.7,9.7,0.0,0.0,0.0,6.4,16.1,12.9,75.0,112.0,SAS,NBA,1.6,1.0,0.0,0.0,0.0,22.4,11.4,0.0,0.0,0.0,50.0,11.1,0.0,0.0,0.0,-0.048,-6.6,-4.1,-10.7,0.0,0,0,35.0
1411,Ian Lockhart,lockhia01,1990-91,23.0,SF,1,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.8,23.8,1.0,0.0,0.0,,23.8,23.8,1.0,47.5,47.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,231.0,115.0,PHO,NBA,76.3,1.064,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,0.0,0.0,0.0,1.084,27.3,-11.0,16.4,0.0,0,0,
1412,Kevin Loder,loderke01,1981-82,22.0,SF,71,16.0,2.9,6.3,0.46399999999999997,0.0,0.2,0.0,2.9,6.2,0.47600000000000003,0.46399999999999997,1.1,1.5,0.72,1.0,1.8,2.7,1.2,0.5,0.4,1.0,2.1,6.9,8.6,18.5,0.46399999999999997,0.0,0.5,0.0,8.6,18.1,0.47600000000000003,3.2,4.4,0.72,2.9,5.2,8.1,3.6,1.4,1.2,2.8,6.1,20.4,101.0,108.0,KCK,NBA,12.9,0.498,0.025,0.239,6.6,12.8,9.6,10.7,1.4,1.5,12.1,20.2,0.4,1.1,1.5,0.062,-1.6,-0.3,-1.9,0.0,0,0,17.0
1413,Brad Lohaus,lohaubr01,1987-88,23.0,PF,70,10.3,1.7,3.5,0.496,0.0,0.2,0.231,1.7,3.3,0.511,0.502,0.7,0.9,0.8059999999999999,0.7,1.3,2.0,0.7,0.3,0.6,0.8,1.8,4.2,8.3,16.8,0.496,0.2,0.9,0.231,8.1,15.9,0.511,3.4,4.2,0.8059999999999999,3.1,6.3,9.4,3.3,1.4,2.8,4.0,8.4,20.3,102.0,108.0,BOS,NBA,12.2,0.5429999999999999,0.053,0.252,8.1,14.2,11.4,9.2,1.4,3.3,17.8,19.9,0.2,0.8,0.9,0.063,-2.1,0.2,-2.0,0.0,0,0,45.0
1414,Art Long,longar01,2000-01,28.0,SF,9,2.2,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.7,0.9,0.1,0.0,0.3,0.2,0.6,0.0,0.0,10.2,0.0,0.0,0.0,,0.0,10.2,0.0,0.0,5.1,0.0,5.1,15.3,20.3,2.5,0.0,7.6,5.1,12.7,0.0,27.0,91.0,SAC,NBA,-3.6,0.0,0.0,0.5,11.1,31.5,21.5,6.4,0.0,10.0,29.1,15.2,-0.1,0.1,-0.1,-0.214,-15.7,5.3,-10.4,0.0,0,0,
1415,Grant Long,longgr01,1988-89,22.0,PF,82,29.7,4.1,8.4,0.486,0.0,0.1,0.0,4.1,8.4,0.489,0.486,3.7,5.0,0.7490000000000001,2.9,3.7,6.7,1.8,1.5,0.6,2.5,4.1,11.9,6.7,13.8,0.486,0.0,0.1,0.0,6.7,13.7,0.489,6.0,8.1,0.7490000000000001,4.8,6.1,10.9,3.0,2.4,1.0,4.0,6.7,19.4,106.0,107.0,MIA,NBA,13.7,0.561,0.006999999999999999,0.5870000000000001,10.7,14.7,12.6,9.1,2.4,1.2,18.8,17.9,2.0,2.7,4.6,0.091,-0.4,1.3,0.9,1.8,0,0,33.0
1416,John Long,longjo01,1978-79,22.0,SG,82,30.5,7.1,15.1,0.469,,,,7.1,15.1,0.469,0.469,1.9,2.3,0.826,1.5,1.7,3.2,1.5,1.2,0.2,1.7,2.7,16.1,10.4,22.2,0.469,,,,10.4,22.2,0.469,2.8,3.4,0.826,2.3,2.5,4.8,2.2,1.8,0.3,2.5,4.0,23.6,103.0,108.0,DET,NBA,13.6,0.498,,0.153,5.1,6.0,5.5,6.9,1.8,0.4,9.4,22.3,2.2,1.4,3.6,0.07,-0.2,-1.5,-1.7,0.2,0,0,29.0
1417,Luc Longley,longllu01,1991-92,23.0,C,66,15.0,1.7,3.8,0.45799999999999996,0.0,0.0,,1.7,3.8,0.45799999999999996,0.45799999999999996,0.8,1.2,0.6629999999999999,1.0,2.9,3.9,0.8,0.5,1.0,1.3,2.4,4.3,5.8,12.7,0.45799999999999996,0.0,0.0,,5.8,12.7,0.45799999999999996,2.7,4.1,0.6629999999999999,3.4,9.7,13.1,2.7,1.8,3.3,4.2,8.0,14.3,90.0,107.0,MIN,NBA,10.1,0.494,0.0,0.321,7.2,21.8,14.3,7.3,1.8,3.9,22.6,15.8,-0.9,1.1,0.2,0.009000000000000001,-5.1,1.7,-3.4,-0.3,0,0,7.0
1418,Brook Lopez,lopezbr01,2008-09,20.0,C,82,30.5,5.5,10.3,0.531,0.0,0.0,0.0,5.5,10.3,0.532,0.531,2.1,2.6,0.7929999999999999,2.7,5.4,8.1,1.0,0.5,1.8,1.8,3.1,13.0,9.6,18.0,0.531,0.0,0.0,0.0,9.6,18.0,0.532,3.7,4.6,0.7929999999999999,4.8,9.4,14.2,1.8,0.9,3.2,3.1,5.5,22.8,110.0,108.0,NJN,NBA,17.9,0.568,0.002,0.257,10.6,21.2,15.8,6.2,0.9,4.9,13.5,20.3,3.2,2.7,5.8,0.11199999999999999,-1.2,1.2,0.0,1.2,0,1,10.0
1419,Felipe Lopez,lopezfe01,1998-99,24.0,SG,47,25.9,3.6,8.1,0.446,0.3,0.9,0.273,3.3,7.1,0.469,0.462,1.9,2.9,0.644,1.5,2.1,3.5,1.3,1.0,0.3,1.7,2.7,9.3,7.5,16.8,0.446,0.5,1.9,0.273,6.9,14.8,0.469,3.9,6.0,0.644,3.1,4.3,7.3,2.7,2.2,0.6,3.6,5.7,19.3,96.0,109.0,VAN,NBA,11.8,0.498,0.11599999999999999,0.35600000000000004,6.6,9.5,8.0,9.5,2.2,0.9,15.8,19.6,0.3,0.2,0.5,0.021,-1.4,-1.1,-2.5,-0.2,0,0,24.0
1420,Raul Lopez,lopezra01,2003-04,23.0,PG,82,19.7,2.7,6.3,0.431,0.3,1.0,0.294,2.4,5.3,0.45799999999999996,0.456,1.2,1.4,0.863,0.3,1.6,1.9,3.7,0.8,0.0,2.1,2.4,7.0,7.6,17.7,0.431,0.9,2.9,0.294,6.8,14.8,0.45799999999999996,3.5,4.0,0.863,0.8,4.5,5.3,10.5,2.1,0.1,6.0,6.9,19.6,95.0,105.0,UTA,NBA,12.0,0.503,0.16399999999999998,0.226,1.8,10.2,5.9,34.8,2.1,0.1,23.4,21.4,0.1,1.2,1.4,0.040999999999999995,-1.2,-2.3,-3.5,-0.6,0,0,24.0
1421,Robin Lopez,lopezro01,2008-09,20.0,C,60,10.2,1.2,2.3,0.518,0.0,0.0,0.0,1.2,2.3,0.522,0.518,0.8,1.1,0.691,0.9,1.1,2.0,0.1,0.2,0.7,0.5,1.6,3.2,5.8,11.2,0.518,0.0,0.1,0.0,5.8,11.1,0.522,3.8,5.5,0.691,4.2,5.4,9.6,0.7,0.9,3.3,2.3,7.9,15.4,112.0,111.0,PHO,NBA,11.6,0.5660000000000001,0.006999999999999999,0.496,10.3,12.1,11.2,1.8,0.9,4.9,14.4,14.0,0.6,0.4,1.1,0.083,-2.1,-0.2,-2.3,0.0,0,0,15.0
1422,Ryan Lorthridge,lorthry01,1994-95,22.0,SG,37,18.2,2.9,6.0,0.475,0.1,0.4,0.214,2.8,5.6,0.493,0.48200000000000004,1.5,2.4,0.648,0.6,1.3,1.9,2.7,0.8,0.0,1.5,1.1,7.4,7.7,16.3,0.475,0.2,1.0,0.214,7.5,15.2,0.493,4.2,6.4,0.648,1.8,3.4,5.2,7.4,2.0,0.1,4.2,3.1,19.8,102.0,114.0,GSW,NBA,12.9,0.52,0.063,0.395,3.9,7.8,5.8,23.1,2.0,0.1,17.9,20.0,0.2,0.2,0.4,0.032,-2.0,-1.7,-3.7,-0.3,0,0,
1423,Kevin Love,loveke01,2008-09,20.0,C,81,25.3,3.9,8.5,0.45899999999999996,0.0,0.2,0.105,3.9,8.3,0.469,0.461,3.3,4.1,0.789,3.4,5.7,9.1,1.0,0.4,0.6,1.5,2.5,11.1,8.1,17.6,0.45899999999999996,0.1,0.5,0.105,8.0,17.1,0.469,6.8,8.6,0.789,7.0,11.8,18.8,2.1,0.9,1.3,3.0,5.2,23.0,112.0,109.0,MIN,NBA,18.3,0.5379999999999999,0.027999999999999997,0.488,15.1,27.3,21.0,6.8,0.9,1.9,12.4,21.0,3.4,1.9,5.3,0.124,-0.7,-0.4,-1.1,0.5,0,1,5.0
1424,Sidney Lowe,lowesi01,1983-84,24.0,PG,78,15.9,1.4,3.3,0.413,0.0,0.2,0.111,1.3,3.1,0.436,0.41700000000000004,1.4,1.8,0.777,0.4,1.2,1.6,3.4,1.2,0.1,1.4,1.4,4.2,4.1,9.8,0.413,0.1,0.7,0.111,4.0,9.1,0.436,4.1,5.3,0.777,1.1,3.5,4.6,10.2,3.5,0.2,4.0,4.3,12.3,100.0,105.0,IND,NBA,12.2,0.506,0.069,0.537,2.7,8.2,5.4,27.7,3.5,0.2,24.9,14.2,0.1,1.6,1.7,0.066,-2.9,0.3,-2.6,-0.2,0,0,25.0
1425,Kyle Lowry,lowryky01,2006-07,20.0,PG,10,17.5,1.4,3.8,0.368,0.3,0.8,0.375,1.1,3.0,0.36700000000000005,0.408,2.5,2.8,0.893,1.2,1.9,3.1,3.2,1.4,0.1,1.2,2.0,5.6,4.1,11.1,0.368,0.9,2.3,0.375,3.2,8.8,0.36700000000000005,7.3,8.2,0.893,3.5,5.6,9.1,9.4,4.1,0.3,3.5,5.9,16.4,118.0,108.0,MEM,NBA,18.3,0.556,0.21100000000000002,0.737,8.2,13.0,10.6,27.3,4.1,0.4,19.3,16.1,0.4,0.2,0.5,0.14800000000000002,2.3,1.0,3.3,0.2,0,0,24.0
1426,John Lucas,lucasjo01,1976-77,23.0,SG,82,30.9,4.7,9.9,0.47700000000000004,,,,4.7,9.9,0.47700000000000004,0.47700000000000004,1.6,2.1,0.789,0.7,2.0,2.7,5.6,1.5,0.2,,2.1,11.1,7.3,15.2,0.47700000000000004,,,,7.3,15.2,0.47700000000000004,2.5,3.2,0.789,1.0,3.1,4.1,8.7,2.3,0.4,,3.3,17.1,,104.0,HOU,NBA,15.0,0.512,,0.21,2.5,6.8,4.7,24.7,2.3,0.4,,,3.6,1.2,4.8,0.091,1.2,-0.6,0.6,1.7,0,1,1.0
1427,Maurice Lucas,lucasma01,1974-75,22.0,C,80,30.8,5.5,11.7,0.467,0.0,0.1,0.222,5.5,11.6,0.47,0.469,2.3,2.9,0.7859999999999999,3.5,6.7,10.2,3.6,1.1,0.8,2.6,3.8,13.2,8.1,17.3,0.467,0.0,0.2,0.222,8.0,17.1,0.47,3.3,4.2,0.7859999999999999,5.2,9.9,15.1,5.3,1.6,1.2,3.8,5.6,19.5,106.0,104.0,SSL,ABA,16.4,0.51,0.01,0.244,11.2,22.1,16.5,15.5,1.6,1.4,16.7,19.2,2.8,2.7,5.5,0.10800000000000001,0.4,1.1,1.6,2.2,0,0,14.0
1428,John Lucas III,lucasjo02,2005-06,23.0,PG,13,8.2,1.1,2.8,0.389,0.2,0.7,0.222,0.9,2.1,0.444,0.41700000000000004,0.0,0.0,,0.2,0.2,0.4,0.9,0.4,0.0,0.5,0.5,2.3,7.1,18.3,0.389,1.0,4.6,0.222,6.1,13.8,0.444,0.0,0.0,,1.0,1.5,2.5,6.1,2.5,0.0,3.6,3.1,15.3,84.0,106.0,HOU,NBA,7.7,0.41700000000000004,0.25,0.0,2.2,3.2,2.7,20.3,2.5,0.0,16.3,19.2,-0.2,0.1,-0.1,-0.027000000000000003,-4.9,-2.0,-7.0,-0.1,0,0,
1429,Tyronn Lue,luety01,1998-99,21.0,PG,15,12.5,1.9,4.3,0.431,0.5,1.1,0.43799999999999994,1.4,3.3,0.429,0.485,0.8,1.4,0.5710000000000001,0.1,0.3,0.4,1.7,0.3,0.0,0.7,1.9,5.0,7.8,18.1,0.431,2.0,4.5,0.43799999999999994,5.9,13.7,0.429,3.3,5.9,0.5710000000000001,0.6,1.1,1.7,7.0,1.4,0.0,3.1,7.8,20.9,104.0,110.0,LAL,NBA,11.2,0.505,0.24600000000000002,0.32299999999999995,1.3,2.4,1.9,21.6,1.4,0.0,12.9,20.4,0.2,0.0,0.2,0.062,-0.6,-5.1,-5.7,-0.2,0,0,23.0
1430,George Lynch,lynchge01,1993-94,23.0,SF,71,24.8,4.1,8.1,0.508,0.0,0.1,0.0,4.1,8.0,0.512,0.508,1.4,2.3,0.596,3.1,2.7,5.8,1.4,1.4,0.4,1.2,2.5,9.6,8.3,16.4,0.508,0.0,0.1,0.0,8.3,16.2,0.512,2.8,4.7,0.596,6.3,5.4,11.7,2.7,2.9,0.8,2.5,5.1,19.4,110.0,108.0,LAL,NBA,16.1,0.527,0.009000000000000001,0.29,13.0,12.2,12.6,8.2,2.9,1.0,11.9,17.5,2.4,1.5,3.9,0.107,0.9,0.5,1.5,1.5,0,0,12.0
