,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
85,J.J. Anderson,anderjj01,Career,,,NBA,,157,1970,12.1,.489,.014,.378,10.1,12.8,11.4,7.6,2.5,1.0,14.6,18.0,,0.1,2.5,2.7,.065,,-1.9,0.4,-1.5,0.3
86,James Anderson,anderja01,Career,,,NBA,,247,4320,9.9,.516,.479,.183,2.7,11.7,7.1,10.0,1.4,1.0,13.5,16.0,,0.9,2.4,3.3,.037,,-1.8,-1.0,-2.8,-0.9
88,Justin Anderson,anderju01,Career,,,NBA,,164,2342,13.0,.530,.461,.273,5.1,16.8,10.9,7.9,1.6,1.9,10.5,19.1,,1.2,2.7,4.0,.081,,-1.6,-0.1,-1.7,0.2
89,Kenny Anderson,anderke01,Career,,,NBA,,858,25868,16.4,.501,.166,.298,2.9,8.7,5.7,33.2,2.5,0.3,14.1,21.3,,36.4,26.1,62.5,.116,,1.4,-0.7,0.8,18.0
91,Kyle Anderson,anderky01,Career,,,NBA,,252,4467,13.6,.538,.139,.291,3.6,18.8,11.3,13.7,2.6,2.1,15.0,13.4,,3.2,9.1,12.3,.132,,-1.6,3.9,2.3,4.9
92,Michael Anderson,andermi01,Career,,,NBA,,36,730,10.5,.483,.040,.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,,-0.5,0.6,0.2,.010,,-3.0,-0.4,-3.4,-0.3
93,Nick Anderson,anderni01,Career,,,NBA,,800,24922,15.8,.525,.300,.249,4.6,13.8,9.2,13.3,2.3,1.0,11.0,21.3,,27.5,27.8,55.3,.106,,1.4,0.4,1.7,23.5
94,Richard Anderson,anderri01,Career,,,NBA,,407,6002,12.3,.476,.202,.175,8.0,18.0,12.9,13.1,1.7,0.9,13.2,17.8,,2.1,5.5,7.6,.061,,-1.1,-0.1,-1.2,1.2
95,Ron Anderson,anderro01,Career,,,NBA,,664,15112,14.3,.517,.059,.212,6.3,10.7,8.5,9.6,1.5,0.4,9.7,21.2,,14.0,10.2,24.2,.077,,-0.4,-1.3,-1.7,1.1
96,Ryan Anderson,anderry01,Career,,,NBA,,621,16428,16.7,.563,.534,.209,8.6,14.9,11.7,5.7,1.0,1.1,7.7,21.1,,34.7,12.3,47.0,.137,,2.8,-2.0,0.7,11.4
