,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
4030,Mychal Thompson,thompmy01,Career,,,NBA,,935,27764,15.7,.537,.001,.360,9.1,19.0,14.1,10.8,1.2,2.2,15.0,20.5,,26.1,33.0,59.1,.102,,-0.2,0.8,0.6,18.2
4031,Mychel Thompson,thompmy02,Career,,,NBA,,5,95,2.2,.375,.458,.000,0.0,6.2,3.0,11.6,1.1,0.8,17.2,13.7,,-0.2,0.0,-0.2,-0.079,,-5.9,-2.5,-8.3,-0.2
4032,Paul Thompson,thomppa01,Career,,,NBA,,154,3105,13.7,.478,.062,.212,7.2,12.1,9.6,10.7,2.2,1.5,10.0,21.1,,1.5,3.4,4.9,.076,,-0.8,0.4,-0.4,1.2
4033,Stephen Thompson,thompst01,Career,,,NBA,,19,91,11.5,.383,.027,.216,13.0,9.6,11.3,12.9,3.2,1.9,11.0,20.9,,-0.1,0.1,0.0,-0.014,,-3.5,0.1,-3.3,0.0
4034,Tristan Thompson,thomptr01,Career,,,NBA,,514,14384,15.2,.546,.003,.449,13.4,21.0,17.1,4.4,0.9,2.1,11.5,15.0,,23.8,13.5,37.3,.124,,-0.8,0.2,-0.7,4.9
4037,Al Thornton,thornal01,Career,,,NBA,,296,8274,12.3,.511,.088,.315,5.4,11.9,8.6,7.4,1.2,1.4,10.9,21.3,,1.9,4.2,6.1,.035,,-2.3,-1.2,-3.5,-3.1
4038,Bob Thornton,thornbo01,Career,,,NBA,,283,3386,6.2,.480,.013,.503,8.8,15.3,11.9,3.9,1.1,0.6,19.3,13.5,,-1.7,3.0,1.3,.018,,-4.3,-0.5,-4.8,-2.4
4040,Marcus Thornton,thornma01,Career,,,NBA,,483,11299,15.5,.531,.410,.185,4.0,9.7,6.8,10.1,1.8,0.4,8.3,23.2,,14.5,5.5,20.0,.085,,1.6,-2.3,-0.8,3.4
4041,Sindarius Thornwell,thornsi01,Career,,,NBA,,68,1041,7.9,.515,.265,.377,3.1,10.1,6.6,6.9,2.0,1.8,15.6,11.7,,0.1,0.9,1.0,.044,,-2.8,1.1,-1.7,0.1
4042,Otis Thorpe,thorpot01,Career,,,NBA,,1257,39822,16.0,.584,.005,.446,9.9,19.2,14.6,10.6,1.1,0.8,15.6,19.2,,61.6,44.8,106.4,.128,,0.6,0.6,1.2,32.2
4043,Sedale Threatt,threase01,Career,,,NBA,,951,22436,14.7,.531,.080,.199,1.9,6.8,4.3,24.1,2.5,0.4,12.9,19.0,,30.2,17.8,48.0,.103,,0.4,-1.2,-0.8,6.8
4048,Darren Tillis,tillida01,Career,,,NBA,,124,1256,10.0,.447,.007,.209,9.7,18.4,13.8,4.7,0.8,4.1,13.3,17.4,,-0.4,1.4,0.9,.036,,-4.6,-0.1,-4.7,-0.8
4051,Jamaal Tinsley,tinslja01,Career,,,NBA,,547,14443,13.6,.471,.296,.230,2.8,10.0,6.4,37.8,2.8,0.8,21.8,19.9,,-0.6,17.8,17.2,.057,,-0.4,0.0,-0.4,5.7
4052,Wayman Tisdale,tisdawa01,Career,,,NBA,,840,23868,15.7,.543,.002,.274,7.5,16.3,11.9,7.4,1.0,1.3,10.6,23.5,,25.7,20.0,45.7,.092,,-0.7,-1.3,-2.0,0.0
4053,Mike Tobey,tobeymi01,Career,,,NBA,,2,25,-0.1,.250,.000,.000,8.7,4.4,6.6,5.4,0.0,0.0,20.0,9.0,,0.0,0.0,0.0,-0.070,,-7.4,-1.5,-8.9,0.0
4055,Ray Tolbert,tolbera01,Career,,,NBA,,261,2789,9.8,.510,.008,.313,8.6,14.9,11.8,6.4,1.2,2.0,18.8,16.1,,-0.5,3.4,2.9,.051,,-3.3,0.3,-2.9,-0.6
4056,Tom Tolbert,tolbeto01,Career,,,NBA,,312,5680,10.5,.522,.060,.413,8.1,15.8,12.1,6.8,1.0,1.1,15.1,16.6,,2.4,4.2,6.6,.056,,-2.2,-0.6,-2.8,-1.2
4057,Anthony Tolliver,tollian01,Career,,,NBA,,594,11978,11.3,.568,.630,.244,4.5,14.8,9.6,6.8,1.0,1.2,10.3,13.9,,14.5,8.9,23.4,.094,,0.1,-0.5,-0.4,4.8
4059,Rudy Tomjanovich,tomjaru01,Career,,,NBA,,768,25714,16.9,.539,.012,.237,6.8,15.8,12.4,8.9,0.9,0.5,9.3,21.4,,51.9,18.4,70.4,.131,,2.0,-1.3,0.7,12.8
4060,Andrew Toney,toneyan01,Career,,,NBA,,468,12608,16.1,.565,.070,.352,2.2,6.6,4.4,23.9,1.4,0.5,17.4,25.9,,15.9,11.0,26.9,.103,,1.0,-2.2,-1.2,2.6
4061,Sedric Toney,toneyse01,Career,,,NBA,,112,1410,7.8,.468,.239,.336,1.8,6.1,4.0,22.2,1.7,0.0,20.7,16.4,,-0.7,0.7,0.0,.000,,-3.6,-2.5,-6.1,-1.5
4063,Andy Toolson,toolsan01,Career,,,NBA,,60,523,8.0,.490,.301,.253,7.7,8.8,8.2,8.7,1.3,0.2,13.8,16.0,,0.1,0.5,0.6,.051,,-1.9,-0.7,-2.6,-0.1
4065,Bernard Toone,toonebe01,Career,,,NBA,,23,124,8.9,.402,.109,.156,10.9,17.8,14.5,13.8,1.5,2.2,19.0,27.2,,-0.3,0.2,-0.1,-0.036,,-5.6,-0.5,-6.0,-0.1
4068,Oscar Torres,torreos01,Career,,,NBA,,82,1184,11.7,.512,.369,.332,4.8,8.1,6.4,6.2,1.3,0.6,11.7,19.0,,0.9,0.1,1.1,.043,,-1.1,-2.8,-3.9,-0.5
4071,Axel Toupane,toupaax01,Career,,,NBA,,25,352,7.0,.503,.557,.215,2.5,7.7,5.0,6.1,1.1,1.6,6.5,11.5,,0.2,0.2,0.4,.050,,-1.9,-1.1,-2.9,-0.1
4072,Monte Towe,towemo01,Career,,,TOT,,115,985,9.6,.459,.132,.218,1.5,7.2,4.5,27.3,2.3,0.2,29.0,18.0,,-0.8,1.0,0.2,.009,,-3.6,-1.9,-5.4,-0.9
4073,Keith Tower,towerke01,Career,,,NBA,,53,416,5.9,.459,.011,.396,7.1,12.7,9.9,2.4,0.8,2.2,15.1,13.5,,-0.2,0.2,0.0,.000,,-5.4,-1.4,-6.8,-0.5
4075,Linton Townes,towneli01,Career,,,NBA,,60,543,11.5,.484,.101,.161,6.4,7.5,6.9,8.7,1.8,0.7,11.3,22.4,,0.2,0.5,0.6,.057,,-1.6,-2.2,-3.8,-0.2
4076,Karl-Anthony Towns,townska01,Career,,,NBA,,242,8427,24.5,.618,.171,.292,10.3,28.7,19.5,11.8,1.0,3.6,11.5,25.2,,25.2,8.8,33.9,.193,,3.6,0.8,4.4,13.6
4077,Raymond Townsend,townsra01,Career,,,NBA,,154,2025,9.8,.451,.047,.229,2.4,6.1,4.2,14.4,2.1,0.3,12.9,19.2,,-0.6,1.6,1.0,.023,,-3.1,-1.5,-4.6,-1.3
4080,Robert Traylor,traylro01,Career,,,NBA,,438,6243,14.5,.502,.014,.390,12.4,18.2,15.3,8.3,2.4,3.7,16.1,18.1,,3.8,9.5,13.3,.102,,-1.7,2.0,0.3,3.6
4081,Gary Trent,trentga01,Career,,,NBA,,506,9866,15.9,.531,.014,.338,10.0,16.4,13.2,8.8,1.2,1.3,12.7,21.6,,12.4,10.9,23.2,.113,,-0.7,-0.6,-1.3,1.7
4082,Jeff Trepagnier,trepaje01,Career,,,NBA,,31,270,9.5,.401,.129,.198,7.1,11.3,9.2,13.5,3.7,1.1,18.5,22.3,,-0.6,0.4,-0.2,-0.038,,-5.0,0.2,-4.8,-0.2
4085,Kelly Tripucka,tripuke01,Career,,,NBA,,707,20959,16.2,.552,.050,.390,4.7,9.4,7.0,14.5,1.5,0.4,13.4,24.1,,29.5,14.9,44.4,.102,,1.1,-1.0,0.1,11.3
4087,Cezary Trybanski,trybace01,Career,,,NBA,,22,101,-3.0,.256,.000,.500,6.8,9.9,8.4,1.4,0.5,4.8,25.5,17.5,,-0.5,0.0,-0.5,-0.217,,-12.0,-0.8,-12.8,-0.3
4088,Jake Tsakalidis,tsakaja01,Career,,,NBA,,315,5005,11.8,.531,.001,.433,10.0,18.6,14.2,3.2,0.8,3.3,16.0,15.3,,3.3,6.6,9.9,.095,,-3.5,0.5,-3.1,-1.3
4091,Nikoloz Tskitishvili,tskitni01,Career,,,NBA,,172,1946,5.2,.375,.292,.184,6.3,12.1,9.1,9.7,1.2,2.0,15.7,18.3,,-3.6,2.0,-1.6,-0.039,,-5.7,-0.6,-6.3,-2.1
4093,Alando Tucker,tuckeal02,Career,,,NBA,,51,426,13.0,.506,.187,.330,8.2,5.2,6.6,5.6,0.6,0.3,8.4,23.5,,0.4,0.0,0.4,.045,,-1.6,-5.1,-6.7,-0.5
4094,Anthony Tucker,tuckean01,Career,,,NBA,,62,982,9.2,.493,.005,.395,5.0,15.3,10.0,9.9,2.4,0.8,18.5,13.5,,-0.2,0.9,0.6,.030,,-3.8,0.9,-2.9,-0.2
4096,P.J. Tucker,tuckepj01,Career,,,NBA,,495,13783,11.2,.528,.381,.235,6.3,16.4,11.3,7.5,2.1,0.7,12.9,12.6,,11.2,13.6,24.8,.086,,-0.5,1.3,0.8,9.8
4097,Trent Tucker,tucketr01,Career,,,NBA,,756,15671,12.9,.528,.250,.111,3.7,7.5,5.6,14.3,2.1,0.3,9.1,17.3,,19.5,14.7,34.3,.105,,0.8,-0.5,0.3,9.0
4098,Ronny Turiaf,turiaro01,Career,,,NBA,,473,8020,13.8,.566,.004,.487,7.4,17.3,12.4,11.0,1.1,5.4,15.5,12.6,,10.1,9.1,19.2,.115,,-1.7,2.7,1.0,6.0
4099,Mirsad Turkcan,turkcmi01,Career,,,NBA,,17,90,11.1,.397,.158,.211,17.1,25.8,21.5,8.9,1.8,0.8,16.2,24.8,,-0.1,0.1,0.0,-0.019,,-4.2,-1.8,-6.0,-0.1
4100,Hedo Turkoglu,turkohe01,Career,,,NBA,,997,26695,14.3,.540,.359,.293,2.8,13.9,8.5,17.3,1.5,0.8,13.4,20.1,,32.4,30.9,63.3,.114,,0.9,0.3,1.2,21.4
4101,Andre Turner,turnean01,Career,,,NBA,,170,2523,12.0,.475,.081,.250,2.8,8.8,5.8,29.9,2.7,0.1,20.8,17.3,,-0.6,2.4,1.8,.034,,-2.6,-1.1,-3.7,-1.1
4103,Elston Turner,turneel01,Career,,,NBA,,505,9006,9.6,.459,.019,.168,6.5,10.3,8.3,12.7,2.3,0.2,14.9,13.5,,0.7,7.8,8.5,.045,,-2.1,0.5,-1.6,0.9
4104,Evan Turner,turneev01,Career,,,NBA,,608,16933,12.1,.492,.147,.213,2.2,16.9,9.5,19.5,1.4,0.7,15.0,19.5,,-0.5,18.8,18.3,.052,,-2.5,0.5,-2.0,0.0
4106,Henry Turner,turnehe02,Career,,,NBA,,66,464,13.7,.502,.045,.559,9.7,9.5,9.6,9.8,2.7,1.1,14.6,24.5,,-0.1,0.5,0.4,.043,,-2.4,-1.0,-3.4,-0.2
4110,Jeff Turner,turneje01,Career,,,NBA,,612,11244,8.4,.512,.064,.212,6.1,14.0,10.1,7.9,0.9,0.5,16.0,15.8,,1.4,7.5,8.9,.038,,-2.8,-0.7,-3.4,-4.1
4111,John Turner,turnejo01,Career,,,NBA,,42,345,7.8,.472,.000,.602,12.6,12.6,12.6,5.0,0.9,0.7,20.5,19.6,,-0.4,0.3,-0.1,-0.021,,-5.3,-2.1,-7.4,-0.5
4112,Myles Turner,turnemy01,Career,,,NBA,,201,5633,17.5,.570,.138,.313,6.0,20.2,13.2,6.4,1.2,5.7,10.3,20.1,,7.7,8.4,16.1,.137,,-1.2,2.1,0.9,4.1
4113,Wayne Turner,turnewa01,Career,,,NBA,,3,41,-1.7,.231,.000,1.000,2.6,5.9,4.2,16.3,0.0,0.0,25.8,12.3,,-0.1,0.0,-0.1,-0.148,,-9.0,-3.1,-12.1,-0.1
4114,Melvin Turpin,turpime01,Career,,,NBA,,361,6871,14.3,.552,.004,.244,9.2,17.0,13.1,3.9,1.1,2.9,13.4,19.0,,5.5,8.2,13.7,.096,,-1.7,0.2,-1.4,1.0
4115,Dave Twardzik,twardda01,Career,,,TOT,,536,13241,13.8,.618,.017,.643,3.3,6.8,5.0,18.4,2.5,0.2,22.6,15.6,,22.3,11.1,33.4,.121,,0.9,-0.1,0.8,8.4
4117,B.J. Tyler,tylerbj01,Career,,,NBA,,55,809,8.5,.462,.270,.265,1.9,7.1,4.5,32.8,2.3,0.2,31.5,17.0,,-1.2,0.5,-0.7,-0.039,,-4.6,-2.6,-7.2,-1.1
4118,Jeremy Tyler,tylerje01,Career,,,NBA,,104,1034,11.1,.471,.003,.304,10.8,19.2,15.0,3.9,1.2,3.3,14.7,20.7,,-0.5,0.8,0.3,.014,,-5.2,-1.4,-6.6,-1.2
4119,Terry Tyler,tylerte01,Career,,,NBA,,871,21740,14.6,.512,.010,.215,7.8,15.6,11.6,6.6,1.7,3.4,11.6,17.7,,15.9,24.9,40.8,.090,,-1.2,1.3,0.1,11.4
4121,Edwin Ubiles,ubileed01,Career,,,NBA,,4,52,7.3,.362,.278,.167,4.3,17.5,10.9,2.9,1.0,1.5,4.9,17.5,,-0.1,0.0,0.0,-0.026,,-6.0,-2.8,-8.8,-0.1
4122,Ekpe Udoh,udohek01,Career,,,NBA,,329,5347,11.5,.493,.004,.383,8.7,12.3,10.5,6.1,1.6,5.8,14.3,12.2,,2.9,5.8,8.7,.078,,-3.1,3.0,-0.1,2.5
4123,Ime Udoka,udokaim01,Career,,,NBA,,316,5711,10.8,.515,.416,.182,4.6,14.8,9.7,8.4,2.0,0.7,12.2,14.9,,2.4,6.3,8.8,.074,,-1.0,0.7,-0.3,2.4
4124,Beno Udrih,udrihbe01,Career,,,NBA,,831,18185,14.0,.539,.225,.204,1.9,8.9,5.4,25.1,1.6,0.3,15.4,18.9,,19.4,12.1,31.4,.083,,0.0,-1.5,-1.6,2.0
4125,Roko Ukic,ukicro01,Career,,,NBA,,85,987,10.0,.443,.209,.201,3.2,6.0,4.6,26.5,1.6,0.2,14.6,21.0,,-0.7,0.5,-0.2,-0.007,,-2.8,-2.6,-5.4,-0.8
4126,Tyler Ulis,ulisty01,Career,,,NBA,,128,2649,11.1,.466,.227,.170,1.7,7.1,4.3,28.6,2.0,0.3,16.1,19.1,,-0.6,0.9,0.2,.004,,-2.4,-2.4,-4.8,-1.9
4127,Wes Unseld,unselwe01,Career,,,NBA,,984,35832,16.0,.537,.001,.347,10.4,24.5,18.0,13.5,1.4,0.9,19.0,11.7,,46.0,64.1,110.1,.147,,0.5,3.8,4.4,32.8
4129,Kelvin Upshaw,upshake01,Career,,,NBA,,120,1518,13.1,.503,.100,.216,2.9,7.7,5.4,24.7,2.6,0.4,15.8,21.3,,0.4,1.1,1.6,.050,,-1.1,-1.8,-2.9,-0.3
4130,Jarrod Uthoff,uthofja01,Career,,,NBA,,9,115,13.9,.487,.237,.184,7.7,14.9,11.1,12.8,0.9,3.1,6.8,18.1,,0.1,0.1,0.2,.083,,-2.1,0.7,-1.4,0.0
4131,Ben Uzoh,uzohbe01,Career,,,NBA,,60,808,13.0,.433,.037,.309,7.0,11.6,9.3,26.7,2.0,1.1,13.8,18.5,,0.0,0.7,0.7,.044,,-1.8,0.3,-1.5,0.1
4133,Jonas Valanciunas,valanjo01,Career,,,NBA,,435,11104,19.4,.609,.020,.380,11.9,26.4,19.1,4.7,0.8,3.3,13.3,19.5,,25.6,15.1,40.7,.176,,-0.4,0.2,-0.2,5.2
4134,Darnell Valentine,valenda01,Career,,,NBA,,620,14395,14.0,.507,.034,.382,2.7,7.6,5.1,29.2,3.0,0.2,18.9,18.6,,7.8,14.3,22.1,.074,,-0.8,-0.5,-1.4,2.3
4135,Denzel Valentine,valende01,Career,,,NBA,,134,3071,10.6,.517,.573,.068,2.0,17.4,9.5,15.1,1.5,0.5,12.5,16.9,,0.5,2.7,3.2,.050,,-1.1,-0.1,-1.2,0.6
4136,Ronnie Valentine,valenro01,Career,,,NBA,,24,123,10.3,.395,.020,.194,8.1,17.0,12.4,8.8,2.5,1.7,13.1,36.9,,-0.4,0.1,-0.3,-0.128,,-6.7,-3.8,-10.4,-0.3
4141,Jan van Breda Kolff,vanbrja01,Career,,,TOT,,598,13772,10.4,.524,.013,.439,5.6,13.8,9.6,10.9,1.6,1.8,21.5,12.0,,6.7,15.6,22.3,.078,,-2.2,1.8,-0.3,5.8
4142,Nick Van Exel,vanexni01,Career,,,NBA,,880,28969,15.8,.507,.373,.204,1.4,8.4,4.9,32.6,1.3,0.2,12.9,22.0,,43.9,12.0,55.9,.093,,2.3,-2.7,-0.4,11.4
4143,Keith Van Horn,vanhoke01,Career,,,NBA,,575,18150,16.8,.534,.216,.284,6.9,17.9,12.3,8.9,1.4,1.2,12.8,24.4,,23.7,18.0,41.7,.110,,0.8,-0.9,-0.2,8.4
4145,Dennis Van Zant,vanzade01,Career,,,ABA,,1,2,39.3,1.136,,,0.0,48.0,24.9,0.0,0.0,0.0,0.0,16.9,,0.0,0.0,0.0,.856,,17.4,-11.2,6.2,0.0
4147,Logan Vander Velden,vandelo01,Career,,,NBA,,15,31,1.8,.286,.357,.286,3.8,19.7,11.6,4.6,0.0,0.0,0.0,22.7,,-0.1,0.0,-0.1,-0.124,,-8.6,-6.1,-14.7,-0.1
4149,Kiki Vandeweghe,vandeki01,Career,,,NBA,,810,24521,18.4,.594,.051,.342,4.0,8.3,6.1,9.9,0.9,0.5,8.9,23.6,,66.8,8.8,75.6,.148,,2.6,-2.7,-0.1,11.7
4150,Nick Vanos,vanosni01,Career,,,NBA,,68,842,7.7,.417,.009,.357,12.1,19.9,16.1,8.8,1.2,1.9,20.4,16.0,,-1.0,0.9,-0.1,-0.007,,-4.8,0.6,-4.2,-0.5
4151,David Vanterpool,vanteda01,Career,,,NBA,,22,411,10.9,.462,.055,.455,4.2,6.4,5.3,26.4,2.9,0.5,21.9,18.3,,-0.2,0.2,0.0,.000,,-2.2,-1.4,-3.6,-0.2
4152,Fred VanVleet,vanvlfr01,Career,,,NBA,,108,1726,15.1,.540,.438,.189,1.9,12.2,7.1,21.5,2.4,1.0,11.1,19.3,,2.5,2.2,4.7,.132,,1.1,0.1,1.2,1.4
4153,Ratko Varda,vardara01,Career,,,NBA,,1,6,15.0,.727,.000,.333,0.0,19.5,9.8,0.0,0.0,0.0,22.5,34.9,,0.0,0.0,0.0,.098,,-5.2,-9.1,-14.3,0.0
4154,Anderson Varejao,varejan01,Career,,,NBA,,627,15051,15.6,.543,.012,.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,,22.2,24.2,46.4,.148,,-0.8,2.3,1.5,13.3
4155,Jarvis Varnado,varnaja01,Career,,,NBA,,37,397,11.5,.584,.000,.836,5.6,14.5,9.9,5.9,1.4,6.2,14.9,11.7,,0.3,0.4,0.7,.089,,-4.0,2.1,-1.9,0.0
4156,Greivis Vasquez,vasqugr01,Career,,,NBA,,401,9520,13.7,.509,.358,.157,1.5,11.1,6.3,33.5,1.3,0.3,17.6,20.6,,7.8,4.8,12.6,.064,,0.6,-2.1,-1.5,1.1
4158,David Vaughn,vaughda01,Career,,,ABA,,93,2593,13.6,.440,.002,.230,11.2,25.9,18.4,8.0,1.4,2.7,15.0,20.7,,-1.8,3.4,1.6,.029,,-3.2,1.3,-1.9,0.1
4159,David Vaughn,vaughda02,Career,,,NBA,,118,1156,10.1,.461,.006,.324,12.9,22.8,17.7,5.1,1.4,3.1,20.9,18.1,,-1.0,1.7,0.6,.026,,-5.6,0.2,-5.5,-1.0
4160,Jacque Vaughn,vaughja01,Career,,,NBA,,776,12658,10.1,.500,.089,.326,1.4,8.2,4.8,24.0,1.7,0.1,18.6,15.5,,5.2,10.2,15.4,.058,,-2.8,-1.4,-4.2,-7.1
4161,Rashad Vaughn,vaughra01,Career,,,NBA,,139,1671,5.9,.432,.554,.054,1.2,9.6,5.4,6.4,1.6,1.5,8.9,14.6,,-1.5,0.9,-0.6,-0.017,,-3.8,-1.8,-5.6,-1.5
4163,Loy Vaught,vaughlo01,Career,,,NBA,,689,16993,15.4,.530,.014,.193,9.7,23.4,16.4,6.3,1.5,0.9,11.1,18.9,,16.6,19.2,35.8,.101,,-1.3,-0.3,-1.6,1.8
4164,Bob Verga,vergabo01,Career,,,TOT,,342,10754,17.5,.503,.072,.350,4.4,6.1,5.7,14.4,2.5,0.0,12.8,27.4,,13.4,6.3,19.7,.088,,-1.6,-3.6,-5.2,-0.2
4165,Pete Verhoeven,verhope01,Career,,,NBA,,282,3220,10.3,.531,.005,.229,9.4,12.9,11.1,6.1,1.9,1.2,15.0,13.9,,2.4,2.8,5.2,.078,,-1.4,0.1,-1.3,0.6
4166,Jan Vesely,veselja01,Career,,,NBA,,162,2455,10.9,.514,.004,.311,10.2,15.6,12.9,6.0,2.2,2.7,17.6,12.7,,0.8,3.2,4.0,.078,,-2.7,2.1,-0.6,0.9
4167,Gundars Vetra,vetragu01,Career,,,NBA,,13,89,13.6,.528,.075,.150,5.5,5.4,5.4,12.2,1.1,0.0,4.5,22.3,,0.1,0.0,0.1,.070,,-0.3,-4.9,-5.2,-0.1
4168,Joao Vianna,viannjo01,Career,,,NBA,,1,9,1.0,.500,.000,.000,0.0,0.0,0.0,32.7,0.0,0.0,33.3,14.3,,0.0,0.0,0.0,-0.065,,-9.1,-10.1,-19.2,0.0
4169,Charlie Villanueva,villach01,Career,,,NBA,,656,13578,16.0,.520,.345,.167,6.7,20.1,13.2,7.2,1.3,2.1,9.0,24.1,,12.0,10.6,22.6,.080,,0.0,-1.8,-1.8,0.6
4170,Jay Vincent,vinceja01,Career,,,NBA,,576,15556,15.9,.523,.004,.302,6.9,15.9,11.3,10.7,1.3,0.6,11.6,24.6,,15.7,11.8,27.5,.085,,-0.1,-1.3,-1.4,2.3
4171,Sam Vincent,vincesa01,Career,,,NBA,,396,7527,14.1,.521,.034,.342,2.3,9.8,6.0,28.8,1.7,0.5,18.0,19.9,,5.6,5.3,10.9,.069,,-1.1,-1.4,-2.5,-0.9
4172,Marcus Vinicius,vincima01,Career,,,NBA,,26,172,8.8,.582,.543,.514,2.0,11.1,6.4,6.0,0.9,0.9,17.3,13.9,,0.1,0.1,0.2,.056,,-2.3,-1.3,-3.6,-0.1
4173,Fred Vinson,vinsofr01,Career,,,NBA,,13,67,-2.0,.336,.542,.125,0.0,1.7,0.8,2.1,2.3,0.0,19.2,20.8,,-0.3,0.0,-0.2,-0.179,,-9.5,-4.0,-13.5,-0.2
4175,Gary Voce,vocega01,Career,,,NBA,,1,4,19.2,.333,.000,.000,55.5,0.0,28.0,0.0,0.0,0.0,0.0,32.5,,0.0,0.0,0.0,.031,,-0.2,-14.5,-14.6,0.0
4177,Alexander Volkov,volkoal01,Career,,,NBA,,149,2453,14.1,.513,.169,.373,6.7,10.4,8.5,19.0,2.1,1.3,13.4,19.4,,2.6,1.9,4.5,.087,,0.7,-0.2,0.5,1.5
4179,Noah Vonleh,vonleno01,Career,,,NBA,,230,3566,10.8,.501,.168,.265,9.8,23.6,16.7,4.0,1.1,1.8,14.0,13.7,,1.3,3.9,5.2,.070,,-3.7,-0.1,-3.8,-1.6
4180,Jake Voskuhl,voskuja01,Career,,,NBA,,450,6443,10.8,.544,.002,.474,9.8,17.7,13.7,5.7,1.2,1.9,16.9,14.0,,5.7,6.0,11.6,.087,,-2.5,0.3,-2.2,-0.3
4181,Danny Vranes,vraneda01,Career,,,NBA,,510,10624,9.3,.519,.009,.411,8.2,13.0,10.6,7.4,1.5,1.4,17.1,11.8,,3.7,11.6,15.3,.069,,-2.0,1.6,-0.4,4.4
4182,Slavko Vranes,vranesl01,Career,,,NBA,,1,3,-20.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,,0.0,0.0,0.0,-0.371,,-16.1,-5.3,-21.4,0.0
4183,Stojko Vrankovic,vrankst01,Career,,,NBA,,170,2050,9.7,.502,.000,.320,8.8,20.0,14.4,4.3,0.6,5.9,21.9,13.1,,-0.8,2.1,1.3,.030,,-5.1,1.5,-3.6,-0.9
4184,Brett Vroman,vromabr01,Career,,,NBA,,11,93,11.8,.481,.037,.704,8.7,22.0,15.4,13.1,2.6,3.1,20.3,20.5,,0.0,0.1,0.1,.048,,-3.7,1.3,-2.4,0.0
4185,Jackson Vroman,vromaja01,Career,,,NBA,,87,1111,8.2,.449,.011,.449,10.0,18.0,13.9,7.6,1.8,2.2,21.1,16.8,,-1.3,1.3,0.0,.001,,-5.1,1.2,-3.9,-0.5
4186,Nikola Vucevic,vucevni01,Career,,,NBA,,452,13511,19.3,.527,.051,.153,10.1,26.9,18.4,12.9,1.4,2.5,10.9,23.7,,14.1,17.3,31.4,.111,,-0.4,1.3,0.8,9.7
4187,Sasha Vujacic,vujacsa01,Career,,,NBA,,581,8908,11.5,.521,.526,.174,2.6,11.3,7.0,12.8,1.9,0.3,10.0,16.6,,8.1,7.9,16.0,.086,,0.0,-1.1,-1.1,2.0
4188,Dwyane Wade,wadedw01,Career,,,NBA,,978,33804,23.9,.557,.097,.435,4.3,11.7,8.1,30.6,2.4,2.0,13.7,31.6,,73.5,45.0,118.5,.168,,3.8,1.0,4.8,57.8
4189,Mark Wade,wadema01,Career,,,NBA,,12,126,4.9,.184,.100,.200,2.6,10.9,6.6,33.7,2.6,0.5,37.4,11.2,,-0.3,0.1,-0.3,-0.102,,-8.3,-1.2,-9.5,-0.2
4190,Von Wafer,wafervo01,Career,,,NBA,,200,2475,11.8,.512,.338,.247,1.9,9.0,5.6,10.1,1.6,0.6,11.1,21.8,,0.4,2.9,3.3,.064,,-1.9,-1.3,-3.2,-0.7
4192,Dajuan Wagner,wagneda02,Career,,,NBA,,103,2202,9.9,.454,.297,.220,1.4,5.8,3.6,15.7,1.6,0.5,11.4,23.9,,-0.6,0.6,0.0,.000,,-1.7,-3.8,-5.6,-2.0
4194,Milt Wagner,wagnemi01,Career,,,NBA,,53,496,10.6,.485,.132,.196,1.0,6.8,4.0,21.5,0.8,0.8,13.3,21.4,,0.1,0.3,0.4,.039,,-2.9,-3.4,-6.3,-0.5
4196,Dion Waiters,waitedi01,Career,,,NBA,,365,10490,12.1,.491,.292,.215,1.7,8.6,5.1,16.1,1.7,0.7,12.1,23.7,,-0.2,7.7,7.5,.034,,-1.1,-1.5,-2.6,-1.6
4197,Granville Waiters,waitegr01,Career,,,NBA,,249,2547,8.3,.473,.008,.200,7.8,15.4,11.6,6.2,1.0,4.1,19.3,12.7,,-1.4,3.3,1.9,.036,,-4.8,1.8,-3.0,-0.6
4198,Andre Wakefield,wakefan01,Career,,,NBA,,81,633,4.4,.418,.000,.375,4.0,9.4,6.6,14.0,1.4,0.2,26.6,18.5,,-1.4,0.3,-1.1,-0.080,,-6.5,-1.4,-7.9,-0.9
4201,Antoine Walker,walkean02,Career,,,NBA,,893,31531,16.0,.484,.290,.225,6.6,18.8,12.5,18.4,1.8,1.1,13.4,26.5,,5.7,32.4,38.1,.058,,0.7,0.1,0.8,21.9
4204,Darrell Walker,walkeda01,Career,,,NBA,,720,18601,13.7,.486,.018,.357,6.2,12.6,9.3,23.9,2.8,0.7,18.2,17.7,,4.0,23.4,27.4,.071,,-0.8,1.8,1.0,14.2
4205,Foots Walker,walkefo01,Career,,,NBA,,658,15036,13.7,.502,.012,.413,3.2,8.9,6.0,26.1,3.1,0.3,20.7,13.2,,12.6,18.4,31.0,.099,,-0.2,1.0,0.8,10.5
